Energy fluotot bragg Monitor highharm
2.410000000000000000e+04 4.756928075247511675e-04 6.355160344587729604e+00 7.042360000000000000e+05 2.284457502599183121e-01
2.410500000000000000e+04 4.305114703600665545e-04 6.305281400579759499e+00 7.038140000000000000e+05 2.414624953400143492e-01
2.411000000000000000e+04 4.466889536951422165e-04 6.358605190962693499e+00 7.029500000000000000e+05 2.382852143949286405e-01
2.411500000000000000e+04 4.336606540976631775e-04 6.383276436936585085e+00 6.987030000000000000e+05 2.388087304505526753e-01
2.412000000000000000e+04 4.800036463184999182e-04 6.413634244066819257e+00 7.020780000000000000e+05 2.434124343226356513e-01
2.412500000000000000e+04 4.498406217542368166e-04 6.424615995879576325e+00 6.980250000000000000e+05 2.562792014265041773e-01
2.413000000000000000e+04 4.583193529273171460e-04 6.324474588947938791e+00 7.003850000000000000e+05 2.526747884130000066e-01
2.413500000000000000e+04 4.319766015066064447e-04 6.509248554446761759e+00 6.967970000000000000e+05 2.387351589798102636e-01
2.414000000000000000e+04 4.577630549113495843e-04 6.477705693961817168e+00 6.924980000000000000e+05 2.537626654351101685e-01
2.414500000000000000e+04 4.625186452828878116e-04 6.484665727054300000e+00 6.918640000000000000e+05 2.394215228113349136e-01
2.415000000000000000e+04 4.818349664596566022e-04 6.563285818144262151e+00 6.911080000000000000e+05 2.429537032011100939e-01
2.415500000000000000e+04 4.300981840298904622e-04 6.498856463868682098e+00 6.905400000000000000e+05 2.461081196392827797e-01
2.416000000000000000e+04 4.755008343010058420e-04 6.523283322908722148e+00 6.897990000000000000e+05 2.481263678687771757e-01
2.416500000000000000e+04 4.788660452049551684e-04 6.610509017568166001e+00 6.891280000000000000e+05 2.392044468843405880e-01
2.417000000000000000e+04 4.911113209877459532e-04 6.573087435333188289e+00 6.882350000000000000e+05 2.392083302500062347e-01
2.417500000000000000e+04 4.740204788479267695e-04 6.659843130178914272e+00 6.877340000000000000e+05 2.518603765966505592e-01
2.418000000000000000e+04 4.686772240335353472e-04 6.668272128125374287e+00 6.870400000000000000e+05 2.396283661772029561e-01
2.418500000000000000e+04 4.703997669846357219e-04 6.722299019064808867e+00 6.866500000000000000e+05 2.568427225530302560e-01
2.419000000000000000e+04 4.780058992923190940e-04 6.783894197197337661e+00 6.861840000000000000e+05 2.466039811845907592e-01
2.419500000000000000e+04 4.231636884698108925e-04 6.827405033308082238e+00 6.853140000000000000e+05 2.492708273963855636e-01
2.420000000000000000e+04 4.630251757158626428e-04 6.849773606416770910e+00 6.846280000000000000e+05 2.602884931409658043e-01
2.420500000000000000e+04 4.676537082746918834e-04 6.842106037638998828e+00 6.842670000000000000e+05 2.407498182626691130e-01
2.421000000000000000e+04 5.019735022383923270e-04 6.872681410735418162e+00 6.833030000000000000e+05 2.488419792275530784e-01
2.421500000000000000e+04 4.850307210545828050e-04 6.960728596338953800e+00 6.824310000000000000e+05 2.529195586449727307e-01
2.422000000000000000e+04 4.679113989964118646e-04 6.961333824730055575e+00 6.817530000000000000e+05 2.416226617138330368e-01
2.422500000000000000e+04 4.625353692720866254e-04 6.941468835046149088e+00 6.810290000000000000e+05 2.364949080025909589e-01
2.423000000000000000e+04 4.473117009654852417e-04 6.920023343886650302e+00 6.773800000000000000e+05 2.317906881327462809e-01
2.423500000000000000e+04 5.008450837401181178e-04 7.047938245130912271e+00 6.768560000000000000e+05 2.393535683830605165e-01
2.424000000000000000e+04 4.901434074239786279e-04 6.911552409691870125e+00 6.793930000000000000e+05 2.525341888604439866e-01
2.424500000000000000e+04 5.226068160956984015e-04 6.958042806489472376e+00 6.754600000000000000e+05 2.511902087002236272e-01
2.425000000000000000e+04 4.704922450669033829e-04 7.050782926523880612e+00 6.716370000000000000e+05 2.544324229845764673e-01
2.425500000000000000e+04 4.669253779130938639e-04 7.083447337009202371e+00 6.746260000000000000e+05 2.466853302701047801e-01
2.426000000000000000e+04 5.195150209208094800e-04 7.098545853592479915e+00 6.775550000000000000e+05 2.440419640941044466e-01
2.426500000000000000e+04 4.983505194632733377e-04 7.216333735337713939e+00 6.702110000000000000e+05 2.450419114175809987e-01
