Energy fluotot bragg Monitor highharm
2.420000000000000000e+04 9.841702614552339055e-04 2.343480644306479732e+01 9.998270000000000000e+05 5.083538000135882085e-01
2.420500000000000000e+04 1.031131150872508515e-03 2.331751030856053575e+01 9.989030000000000000e+05 5.178041910710173834e-01
2.421000000000000000e+04 9.892696879732912688e-04 2.365110587604691617e+01 9.956840000000000000e+05 5.051514950687646666e-01
2.421500000000000000e+04 9.699321047526687344e-04 2.365611761317827444e+01 9.949150000000000000e+05 5.035659620255390490e-01
2.422000000000000000e+04 1.020471958196947576e-03 2.372470066446671666e+01 9.916980000000000000e+05 5.285753028439076351e-01
2.422500000000000000e+04 1.031381307795511135e-03 2.360207959153370538e+01 9.957520000000000000e+05 5.215515696393229206e-01
2.423000000000000000e+04 1.040103789294064907e-03 2.389140306221612775e+01 9.950930000000000000e+05 5.274329407198977693e-01
2.423500000000000000e+04 1.010561576315009268e-03 2.401567379790039070e+01 9.935070000000000000e+05 5.220014687433633949e-01
2.424000000000000000e+04 1.008285387368232366e-03 2.407826415857832458e+01 9.858320000000000000e+05 5.102963045772835882e-01
2.424500000000000000e+04 1.008160047423849485e-03 2.408492421028325836e+01 9.919060000000000000e+05 5.216216578653759539e-01
2.425000000000000000e+04 1.053690650190898222e-03 2.429037113019108673e+01 9.879560000000000000e+05 5.263340387563504308e-01
2.425500000000000000e+04 1.054206140038467391e-03 2.417625143339633453e+01 9.827300000000000000e+05 5.201377413744040501e-01
2.426000000000000000e+04 1.048680200068362236e-03 2.430169466883934248e+01 9.888620000000000000e+05 5.264916504054198976e-01
2.426500000000000000e+04 1.071989216989757514e-03 2.473198954579976672e+01 9.822860000000000000e+05 5.438397014431782805e-01
2.427000000000000000e+04 1.082162524854963538e-03 2.438634589867670499e+01 9.776720000000000000e+05 5.334826558353090720e-01
2.427500000000000000e+04 1.048592643262430835e-03 2.448388348155142680e+01 9.765470000000000000e+05 5.260838860756512636e-01
2.428000000000000000e+04 1.079846308345668200e-03 2.481117797225774524e+01 9.788430000000000000e+05 5.335992878617701329e-01
2.428500000000000000e+04 1.120775921792010847e-03 2.513473680031361113e+01 9.743250000000000000e+05 5.330684554542888254e-01
2.429000000000000000e+04 1.063941224436138833e-03 2.517651673986880567e+01 9.737380000000000000e+05 5.323344193725247919e-01
2.429500000000000000e+04 1.147330144249009230e-03 2.557850458067302313e+01 9.726930000000000000e+05 5.348798186186576320e-01
2.430000000000000000e+04 1.103168390259976752e-03 2.570359729618349931e+01 9.708400000000000000e+05 5.470398241265357342e-01
2.430000000000000000e+04 1.128288224109340538e-03 2.553974712023921612e+01 9.713830000000000000e+05 5.337753991229172712e-01
2.430100000000000000e+04 1.140009915818615376e-03 2.555702593219493579e+01 9.701670000000000000e+05 5.459287734354572041e-01
2.430100000000000000e+04 1.070989381846375538e-03 2.549870844263314851e+01 9.701310000000000000e+05 5.287140957944258535e-01
2.430200000000000000e+04 1.104248259776987413e-03 2.576323421766983657e+01 9.689850000000000000e+05 5.494659487966615519e-01
2.430200000000000000e+04 1.053987707261883327e-03 2.582819545056889510e+01 9.687020000000000000e+05 5.363215309029492062e-01
2.430300000000000000e+04 1.131932700140174559e-03 2.557810339647177500e+01 9.673720000000000000e+05 5.477610907193355416e-01
2.430300000000000000e+04 1.081183886018824598e-03 2.580361190983736464e+01 9.674580000000000000e+05 5.406253713057430632e-01
2.430400000000000000e+04 1.111458369985240859e-03 2.567096153734928166e+01 9.662980000000000000e+05 5.328691538824207319e-01
2.430400000000000000e+04 1.121852422590627644e-03 2.575607530962173186e+01 9.662590000000000000e+05 5.488888882193370122e-01
2.430500000000000000e+04 1.120408731732524437e-03 2.563927680980873802e+01 9.657190000000000000e+05 5.273655915560905294e-01
2.430500000000000000e+04 1.124681159105099960e-03 2.571371839290717887e+01 9.656070000000000000e+05 5.241613770644849568e-01
2.430600000000000000e+04 1.095653562014301235e-03 2.577205945123146336e+01 9.647210000000000000e+05 5.395420613200153648e-01
2.430600000000000000e+04 1.075252093216159466e-03 2.582176548500410007e+01 9.644250000000000000e+05 5.417461830358769603e-01
2.430700000000000000e+04 1.125278594688973368e-03 2.520749807811976240e+01 9.633170000000000000e+05 5.359091185553603864e-01
2.430700000000000000e+04 1.140260328286973272e-03 2.566019630300812437e+01 9.629380000000000000e+05 5.333798230747258673e-01
2.430800000000000000e+04 1.176827721570043814e-03 2.582742710960264887e+01 9.619080000000000000e+05 5.418988660401266033e-01
2.430800000000000000e+04 1.101446323715076728e-03 2.573651492120920636e+01 9.623710000000000000e+05 5.409404109642899083e-01
2.430900000000000000e+04 1.109685148939088505e-03 2.559482335576712231e+01 9.615340000000000000e+05 5.362474471874097981e-01
2.430900000000000000e+04 1.167484009527166916e-03 2.576658160996649016e+01 9.610410000000000000e+05 5.393889315904089043e-01
2.431000000000000000e+04 1.117554669566267651e-03 2.576935915216123973e+01 9.601320000000000000e+05 5.389424771488319221e-01
2.431000000000000000e+04 1.081584130381377804e-03 2.586132741677392843e+01 9.606280000000000000e+05 5.333009771906053187e-01
2.431100000000000000e+04 1.181949320014344081e-03 2.567098692031443363e+01 9.594320000000000000e+05 5.449350927687992563e-01
2.431100000000000000e+04 1.146061885256159695e-03 2.577872009545798093e+01 9.589360000000000000e+05 5.407707001311756745e-01
2.431200000000000000e+04 1.116898570996128267e-03 2.572067897203388043e+01 9.580100000000000000e+05 5.480627275231687578e-01
2.431200000000000000e+04 1.113796145033584982e-03 2.572240306590778403e+01 9.579850000000000000e+05 5.395285650960119916e-01
2.431300000000000000e+04 1.072205629393064045e-03 2.595373383071198248e+01 9.569060000000000000e+05 5.341331878038092507e-01
2.431300000000000000e+04 1.141170765963847632e-03 2.587552525548966642e+01 9.569120000000000000e+05 5.360418998613482033e-01
2.431400000000000000e+04 1.162917165159333115e-03 2.589479323724481574e+01 9.562160000000000000e+05 5.403764518932357985e-01
2.431400000000000000e+04 1.140029034133934046e-03 2.586586707152245168e+01 9.561160000000000000e+05 5.193969651452066127e-01
2.431500000000000000e+04 1.172427437733113836e-03 2.595118494380094276e+01 9.552830000000000000e+05 5.379480541082659606e-01
2.431500000000000000e+04 1.140637459371329722e-03 2.581692356935021593e+01 9.556060000000000000e+05 5.389827139722168647e-01
2.431600000000000000e+04 1.112802785569612157e-03 2.544764010751475780e+01 9.543470000000000000e+05 5.407608121054386929e-01
2.431600000000000000e+04 1.033175842127376188e-03 2.525594257497425588e+01 9.543390000000000000e+05 5.462829003778099102e-01
2.431700000000000000e+04 1.142266155356589643e-03 2.600883157028284742e+01 9.533680000000000000e+05 5.469405437110581580e-01
