Energy fluotot Monitor
2.431500000000000000e+04 9.443785262852028668e-04 1.610583000000000000e+06
2.431500000000000000e+04 8.863322355558247208e-04 1.611134000000000000e+06
2.431600000000000000e+04 8.723585368733051968e-04 1.609430000000000000e+06
2.431600000000000000e+04 8.352121463709279636e-04 1.609172000000000000e+06
2.431700000000000000e+04 8.875890543537907169e-04 1.607726000000000000e+06
2.431700000000000000e+04 8.636593414177814359e-04 1.608273000000000000e+06
2.431800000000000000e+04 9.047210214737088111e-04 1.602704000000000000e+06
2.431800000000000000e+04 9.148493112491611241e-04 1.606822000000000000e+06
2.431900000000000000e+04 8.455160545242583047e-04 1.604937000000000000e+06
2.431900000000000000e+04 8.998426992533349036e-04 1.601391000000000000e+06
2.432000000000000000e+04 9.180205182575069739e-04 1.603450000000000000e+06
2.432000000000000000e+04 8.974191870592042753e-04 1.603487000000000000e+06
2.432100000000000000e+04 9.211387944744145895e-04 1.603450000000000000e+06
2.432100000000000000e+04 9.218200484938514653e-04 1.602265000000000000e+06
2.432200000000000000e+04 8.998350094476454449e-04 1.602516000000000000e+06
2.432200000000000000e+04 8.881343872777692659e-04 1.602235000000000000e+06
2.432300000000000000e+04 8.870226709252059145e-04 1.600861000000000000e+06
2.432300000000000000e+04 8.995783226612550807e-04 1.600750000000000000e+06
2.432400000000000000e+04 9.001648946950920570e-04 1.598596000000000000e+06
2.432400000000000000e+04 9.011773425767558845e-04 1.600129000000000000e+06
2.432500000000000000e+04 9.285962626032697072e-04 1.599188000000000000e+06
2.432500000000000000e+04 9.156088799051403330e-04 1.598936000000000000e+06
2.432600000000000000e+04 8.771924336208685412e-04 1.598281000000000000e+06
2.432600000000000000e+04 8.849745835800268195e-04 1.597786000000000000e+06
2.432700000000000000e+04 8.723293133960480748e-04 1.596874000000000000e+06
2.432700000000000000e+04 9.418401201347167311e-04 1.596874000000000000e+06
2.432800000000000000e+04 9.170068095433896215e-04 1.595408000000000000e+06
2.432800000000000000e+04 9.580069442964131606e-04 1.594978000000000000e+06
2.432900000000000000e+04 9.347173092194269216e-04 1.592995000000000000e+06
2.432900000000000000e+04 9.440868484624546052e-04 1.594133000000000000e+06
2.433000000000000000e+04 9.649994145796094878e-04 1.588602000000000000e+06
2.433000000000000000e+04 9.150877686617925029e-04 1.592197000000000000e+06
2.433100000000000000e+04 9.191118688649911475e-04 1.590666000000000000e+06
2.433100000000000000e+04 9.349790305644430739e-04 1.590410000000000000e+06
2.433200000000000000e+04 9.493103502508542287e-04 1.589575000000000000e+06
2.433200000000000000e+04 9.342595819801757491e-04 1.589494000000000000e+06
2.433300000000000000e+04 9.675730734996497266e-04 1.587477000000000000e+06
2.433300000000000000e+04 9.622687374757088203e-04 1.587914000000000000e+06
2.433400000000000000e+04 9.702643623413761747e-04 1.585135000000000000e+06
2.433400000000000000e+04 9.807320193877353421e-04 1.586570000000000000e+06
2.433500000000000000e+04 9.011125298213297410e-04 1.583598000000000000e+06
2.433500000000000000e+04 9.892814167873555543e-04 1.583978000000000000e+06
2.433600000000000000e+04 9.842718662502135916e-04 1.582896000000000000e+06
2.433600000000000000e+04 9.847434294606384388e-04 1.582138000000000000e+06
2.433700000000000000e+04 9.549008547311224225e-04 1.581316000000000000e+06
2.433700000000000000e+04 9.512701733791091834e-04 1.581044000000000000e+06
2.433800000000000000e+04 1.016842763331902251e-03 1.580382000000000000e+06
2.433800000000000000e+04 9.677104326287086717e-04 1.576918000000000000e+06
2.433900000000000000e+04 1.011304990503907389e-03 1.572226000000000000e+06
2.433900000000000000e+04 1.005996040673429789e-03 1.577541000000000000e+06
2.434000000000000000e+04 1.013320653051466482e-03 1.573046000000000000e+06
2.434000000000000000e+04 1.025624721815986259e-03 1.572700000000000000e+06
2.434100000000000000e+04 1.009525091460431508e-03 1.574998000000000000e+06
2.434100000000000000e+04 1.027562862669247111e-03 1.571680000000000000e+06
