#A mod D1
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.382170802638177549e-03 1.730283425080324233e-03 1.451307035417077462e-03
-1.578559038246649085e-06 -2.521161290406619515e-06 -1.407929232677863793e-06
3.790456991536093889e-03 3.694138903809136495e-03 3.760248619991481654e-03
1.136842344443651598e-07 1.520623152955646360e-07 1.128433500956057328e-07
8.110278130708985234e-02 9.531513924238824154e-02 8.014732916156032394e-02
