#A_FDM_301 mod_Green_301 D1_FDM_301 D1_FDM_001 mod_Green_001
inf inf inf inf inf
1.382170802638177549e-03 1.730283425080324233e-03 1.451307035417077462e-03 1.451307035417077462e-03 1.730283425080324233e-03
-1.019586390640508655e-01 -4.445423221618001464e-02 -5.466602600061842843e-02 -1.867588983975001726e+00 -1.144016388935609285e+01
-4.711186759671397856e-03 -2.500742025842300281e-07 -1.477767993859965925e-07 1.078786078336845672e-03 3.712942110738057071e-03
9.283994074666743757e+00 1.844368687420560563e-04 2.410467424381131270e-04 1.411359684294011263e+00 3.739475075010206595e+00
3.141538197559517798e+00 -4.865186580882344680e-01 -5.255298682761551099e-01 2.552240687857746382e-01 7.485179836953093080e-01
3.141586476814731910e+00 4.866109762945539652e-01 2.615921821078986298e+00 1.275907048348289829e-01 4.573366111955060043e-02
1.187555266994337437e-02 1.240902529652518869e-02 1.261487455085257697e-02 3.063280801103177541e-03 2.195122049073381081e-03
1.071841018644135168e-01 1.109325165176359568e-01 1.094061158801745287e-01 6.721532635681874701e-02 5.710811709208215431e-02
