    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
    4.0000  5.04353E-02  3.18842E-01  2.34344E-03  6.37684E-01  4.68689E-03  1.68094E-01  1.23547E-03  1.52364E-01  1.11986E-03  1.91847E-01  1.41005E-03  1.02461E+00  7.53075E-03  4.13725E-01  3.04082E-03  5.70302E-01  4.19164E-03  2.57464E-01  1.89233E-03  6.82112E-01  5.01343E-03  5.17341E-01  3.80239E-03  4.88189E+00  3.58812E-02  2.56800E-02  1.88745E-04  3.09343E-02  2.27363E-04  1.95104E-02  1.43399E-04  1.38659E-02  1.01913E-04  2.05860E-02  1.51305E-04  3.37192E-02  2.47832E-04  1.46491E-02  1.07669E-04  3.17890E-01  2.33645E-03
    4.1000  1.00044E-01  3.15608E-01  4.66312E-03  6.31216E-01  9.32624E-03  1.72535E-01  2.50358E-03  1.55505E-01  2.26280E-03  1.90024E-01  2.80670E-03  1.03613E+00  1.51461E-02  4.01349E-01  5.99068E-03  5.49304E-01  8.22895E-03  2.54438E-01  3.76241E-03  6.62616E-01  9.88357E-03  5.12868E-01  7.57190E-03  4.76115E+00  7.08750E-02  2.56231E-02  3.77071E-04  3.08289E-02  4.53951E-04  1.96170E-02  2.87581E-04  1.44982E-02  2.08472E-04  2.09350E-02  3.05174E-04  3.41214E-02  4.98619E-04  1.49367E-02  2.17452E-04  3.21121E-01  4.69664E-03
    4.2000  1.48849E-01  3.12282E-01  6.95836E-03  6.24565E-01  1.39167E-02  1.77086E-01  3.80514E-03  1.58685E-01  3.42911E-03  1.87760E-01  4.18670E-03  1.04706E+00  2.28419E-02  3.90099E-01  8.85786E-03  5.29685E-01  1.21221E-02  2.51296E-01  5.60940E-03  6.43675E-01  1.46145E-02  5.07309E-01  1.13006E-02  4.64413E+00  1.05009E-01  2.56040E-02  5.65257E-04  3.07067E-02  6.79641E-04  1.97349E-02  4.32630E-04  1.51895E-02  3.20113E-04  2.12694E-02  4.61502E-04  3.45081E-02  7.52249E-04  1.52432E-02  3.29487E-04  3.24512E-01  7.08176E-03
    4.3000  1.96870E-01  3.08858E-01  9.22842E-03  6.17716E-01  1.84568E-02  1.81737E-01  5.14088E-03  1.61891E-01  4.61899E-03  1.85121E-01  5.54731E-03  1.05750E+00  3.06144E-02  3.79890E-01  1.16500E-02  5.11341E-01  1.58804E-02  2.48023E-01  7.43234E-03  6.25274E-01  1.92102E-02  5.00602E-01  1.49799E-02  4.53026E+00  1.38306E-01  2.56205E-02  7.53564E-04  3.05766E-02  9.04375E-04  1.98679E-02  5.78657E-04  1.59402E-02  4.37272E-04  2.15901E-02  6.20186E-04  3.48793E-02  1.00861E-03  1.55695E-02  4.43921E-04  3.28089E-01  9.49317E-03
    4.4000  2.44124E-01  3.05339E-01  1.14726E-02  6.10679E-01  2.29453E-02  1.86477E-01  6.51146E-03  1.65105E-01  5.83249E-03  1.82176E-01  6.88628E-03  1.06751E+00  3.84605E-02  3.70649E-01  1.43742E-02  4.94168E-01  1.95124E-02  2.44623E-01  9.23028E-03  6.07393E-01  2.36744E-02  4.92757E-01  1.86016E-02  4.41918E+00  1.70786E-01  2.56704E-02  9.42238E-04  3.04470E-02  1.12816E-03  2.00201E-02  7.25802E-04  1.67503E-02  5.60384E-04  2.18990E-02  7.81141E-04  3.52346E-02  1.26758E-03  1.59163E-02  5.60904E-04  3.31875E-01  1.19324E-02
    4.5000  2.90629E-01  3.01737E-01  1.36904E-02  6.03475E-01  2.73807E-02  1.91293E-01  7.91743E-03  1.68303E-01  7.06949E-03  1.78997E-01  8.20188E-03  1.07718E+00  4.63776E-02  3.62309E-01  1.70371E-02  4.78083E-01  2.30263E-02  2.41119E-01  1.10025E-02  5.90032E-01  2.80111E-02  4.83863E-01  2.21579E-02  4.31081E+00  2.02470E-01  2.57515E-02  1.13151E-03  3.03256E-02  1.35105E-03  2.01961E-02  8.74241E-04  1.76185E-02  6.89878E-04  2.21985E-02  9.44297E-04  3.55738E-02  1.52904E-03  1.62841E-02  6.80591E-04  3.35896E-01  1.44012E-02
    4.6000  3.36405E-01  2.98069E-01  1.58811E-02  5.96139E-01  3.17622E-02  1.96170E-01  9.35926E-03  1.71459E-01  8.32969E-03  1.75653E-01  9.49291E-03  1.08656E+00  5.43637E-02  3.54804E-01  1.96449E-02  4.63005E-01  2.64293E-02  2.37547E-01  1.27484E-02  5.73181E-01  3.22239E-02  4.74056E-01  2.56422E-02  4.20519E+00  2.33377E-01  2.58621E-02  1.32159E-03  3.02197E-02  1.57316E-03  2.04005E-02  1.02418E-03  1.85429E-02  8.26165E-04  2.24920E-02  1.10961E-03  3.58965E-02  1.79287E-03  1.66735E-02  8.03139E-04  3.40175E-01  1.69014E-02
    4.7000  3.81471E-01  2.94358E-01  1.80446E-02  5.88715E-01  3.60892E-02  2.01094E-01  1.08373E-02  1.74545E-01  9.61257E-03  1.72209E-01  1.07586E-02  1.09569E+00  6.24169E-02  3.48075E-01  2.22032E-02  4.48856E-01  2.97283E-02  2.33951E-01  1.44679E-02  5.56835E-01  3.63165E-02  4.63509E-01  2.90489E-02  4.10245E+00  2.63530E-01  2.60008E-02  1.51269E-03  3.01360E-02  1.79465E-03  2.06383E-02  1.17587E-03  1.95203E-02  9.69637E-04  2.27831E-02  1.27706E-03  3.62030E-02  2.05896E-03  1.70852E-02  9.28713E-04  3.44733E-01  1.94352E-02
    4.8000  4.25852E-01  2.90628E-01  2.01807E-02  5.81257E-01  4.03614E-02  2.06046E-01  1.23517E-02  1.77528E-01  1.09174E-02  1.68727E-01  1.19987E-02  1.10460E+00  7.05356E-02  3.42061E-01  2.47173E-02  4.35560E-01  3.29296E-02  2.30379E-01  1.61612E-02  5.40987E-01  4.02927E-02  4.52416E-01  3.23741E-02  4.00281E+00  2.92950E-01  2.61664E-02  1.70501E-03  3.00800E-02  2.01574E-03  2.09141E-02  1.32959E-03  2.05465E-02  1.12065E-03  2.30753E-02  1.44666E-03  3.64938E-02  2.32719E-03  1.75199E-02  1.05748E-03  3.49592E-01  2.20046E-02
    4.9000  4.69571E-01  2.86910E-01  2.22894E-02  5.73820E-01  4.45789E-02  2.11009E-01  1.39026E-02  1.80374E-01  1.22431E-02  1.65265E-01  1.32134E-02  1.11329E+00  7.87182E-02  3.36706E-01  2.71921E-02  4.23050E-01  3.60390E-02  2.26877E-01  1.78287E-02  5.25633E-01  4.41561E-02  4.40972E-01  3.56152E-02  3.90648E+00  3.21662E-01  2.63583E-02  1.89874E-03  3.00567E-02  2.23665E-03  2.12329E-02  1.48565E-03  2.16160E-02  1.27953E-03  2.33727E-02  1.61845E-03  3.67694E-02  2.59744E-03  1.79787E-02  1.18962E-03  3.54769E-01  2.46121E-02
