    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -50.0000  9.51654E-05  3.63850E-05  1.33712E-06  7.27700E-05  2.67425E-06  3.65339E-04  1.34260E-05  3.65593E-04  1.34353E-05  3.65320E-04  1.34252E-05  2.19250E-03  8.05730E-05  3.25110E-05  1.19476E-06  3.23523E-05  1.18892E-06  3.24337E-05  1.19192E-06  3.23528E-05  1.18894E-06  3.25045E-05  1.19452E-06  3.24309E-04  1.19181E-05
  -49.5000  1.84185E-04  3.62440E-05  2.66907E-06  7.24879E-05  5.33813E-06  3.36365E-04  2.57871E-05  3.36562E-04  2.58037E-05  3.36349E-04  2.57858E-05  2.01855E-03  1.54753E-04  3.32135E-05  2.41533E-06  3.30479E-05  2.40341E-06  3.31331E-05  2.40954E-06  3.30485E-05  2.40345E-06  3.32068E-05  2.41485E-06  3.31300E-04  2.40932E-05
  -49.0000  2.67831E-04  3.61252E-05  3.99664E-06  7.22503E-05  7.99328E-06  3.10843E-04  3.72104E-05  3.10991E-04  3.72324E-05  3.10830E-04  3.72086E-05  1.86533E-03  2.23303E-04  3.39414E-05  3.66265E-06  3.37687E-05  3.64439E-06  3.38577E-05  3.65378E-06  3.37693E-05  3.64445E-06  3.39344E-05  3.66191E-06  3.38543E-04  3.65344E-05
  -48.5000  3.46763E-04  3.60286E-05  5.32067E-06  7.20573E-05  1.06413E-05  2.88261E-04  4.78038E-05  2.88365E-04  4.78296E-05  2.88251E-04  4.78017E-05  1.72975E-03  2.86870E-04  3.46957E-05  4.93770E-06  3.45156E-05  4.91282E-06  3.46085E-05  4.92562E-06  3.45163E-05  4.91290E-06  3.46885E-05  4.93669E-06  3.46049E-04  4.92515E-05
  -48.0000  4.21545E-04  3.59542E-05  6.64196E-06  7.19084E-05  1.32839E-05  2.68177E-04  5.76591E-05  2.68242E-04  5.76874E-05  2.68169E-04  5.76567E-05  1.60918E-03  3.46006E-04  3.54783E-05  6.24150E-06  3.52906E-05  6.20972E-06  3.53874E-05  6.22609E-06  3.52913E-05  6.20983E-06  3.54708E-05  6.24022E-06  3.53837E-04  6.22547E-05
  -47.5000  4.92663E-04  3.59018E-05  7.96133E-06  7.18037E-05  1.59227E-05  2.50243E-04  6.68554E-05  2.50273E-04  6.68847E-05  2.50237E-04  6.68527E-05  1.50151E-03  4.01186E-04  3.62906E-05  7.57515E-06  3.60948E-05  7.53618E-06  3.61956E-05  7.55625E-06  3.60956E-05  7.53632E-06  3.62828E-05  7.57359E-06  3.61919E-04  7.55550E-05
  -47.0000  5.60540E-04  3.58716E-05  9.27959E-06  7.17431E-05  1.85592E-05  2.34164E-04  7.54608E-05  2.34162E-04  7.54900E-05  2.34160E-04  7.54579E-05  1.40497E-03  4.52817E-04  3.71340E-05  8.93980E-06  3.69299E-05  8.89333E-06  3.70348E-05  8.91726E-06  3.69306E-05  8.89350E-06  3.71259E-05  8.93794E-06  3.70311E-04  8.91636E-05
  -46.5000  6.25545E-04  3.58635E-05  1.05975E-05  7.17270E-05  2.11951E-05  2.19699E-04  8.35345E-05  2.19668E-04  8.35627E-05  2.19696E-04  8.35316E-05  1.31813E-03  5.01258E-04  3.80102E-05  1.03367E-05  3.77972E-05  1.02823E-05  3.79064E-05  1.03103E-05  3.77980E-05  1.02825E-05  3.80018E-05  1.03345E-05  3.79027E-04  1.03093E-04
  -46.0000  6.88004E-04  3.58776E-05  1.19160E-05  7.17553E-05  2.38320E-05  2.06646E-04  9.11287E-05  2.06588E-04  9.11547E-05  2.06645E-04  9.11257E-05  1.23976E-03  5.46818E-04  3.89203E-05  1.17670E-05  3.86980E-05  1.17045E-05  3.88117E-05  1.17366E-05  3.86988E-05  1.17047E-05  3.89116E-05  1.17645E-05  3.88081E-04  1.17354E-04
  -45.5000  7.48205E-04  3.59145E-05  1.32359E-05  7.18290E-05  2.64717E-05  1.94828E-04  9.82885E-05  1.94744E-04  9.83114E-05  1.94828E-04  9.82855E-05  1.16880E-03  5.89771E-04  3.98672E-05  1.32320E-05  3.96351E-05  1.31610E-05  3.97533E-05  1.31975E-05  3.96359E-05  1.31613E-05  3.98582E-05  1.32292E-05  3.97499E-04  1.31962E-04
  -45.0000  8.06402E-04  3.59741E-05  1.45579E-05  7.19482E-05  2.91158E-05  1.84098E-04  1.05054E-04  1.83990E-04  1.05073E-04  1.84099E-04  1.05051E-04  1.10437E-03  6.30356E-04  4.08523E-05  1.47333E-05  4.06098E-05  1.46534E-05  4.07329E-05  1.46944E-05  4.06106E-05  1.46537E-05  4.08429E-05  1.47302E-05  4.07297E-04  1.46930E-04
  -44.5000  8.62824E-04  3.60569E-05  1.58829E-05  7.21137E-05  3.17659E-05  1.74328E-04  1.11460E-04  1.74197E-04  1.11474E-04  1.74330E-04  1.11458E-04  1.04571E-03  6.68785E-04  4.18781E-05  1.62723E-05  4.16247E-05  1.61831E-05  4.17527E-05  1.62288E-05  4.16255E-05  1.61834E-05  4.18683E-05  1.62688E-05  4.17499E-04  1.62273E-04
  -44.0000  9.17677E-04  3.61633E-05  1.72119E-05  7.23266E-05  3.44238E-05  1.65413E-04  1.17539E-04  1.65259E-04  1.17548E-04  1.65416E-04  1.17536E-04  9.92174E-04  7.05247E-04  4.29470E-05  1.78506E-05  4.26820E-05  1.77516E-05  4.28152E-05  1.78022E-05  4.26828E-05  1.77520E-05  4.29368E-05  1.78467E-05  4.28128E-04  1.78006E-04
  -43.5000  9.71147E-04  3.62938E-05  1.85457E-05  7.25876E-05  3.70914E-05  1.57259E-04  1.23318E-04  1.57083E-04  1.23320E-04  1.57263E-04  1.23316E-04  9.43211E-04  7.39909E-04  4.40610E-05  1.94698E-05  4.37838E-05  1.93607E-05  4.39223E-05  1.94163E-05  4.37846E-05  1.93610E-05  4.40503E-05  1.94655E-05  4.39204E-04  1.94147E-04
  -43.0000  1.02340E-03  3.64489E-05  1.98852E-05  7.28978E-05  3.97703E-05  1.49787E-04  1.28823E-04  1.49590E-04  1.28818E-04  1.49792E-04  1.28821E-04  8.98337E-04  7.72922E-04  4.52229E-05  2.11317E-05  4.49328E-05  2.10119E-05  4.50768E-05  2.10729E-05  4.49336E-05  2.10123E-05  4.52117E-05  2.11270E-05  4.50755E-04  2.10712E-04
  -42.5000  1.07460E-03  3.66293E-05  2.12313E-05  7.32587E-05  4.24625E-05  1.42925E-04  1.34075E-04  1.42707E-04  1.34062E-04  1.42931E-04  1.34073E-04  8.57124E-04  8.04421E-04  4.64358E-05  2.28382E-05  4.61321E-05  2.27072E-05  4.62818E-05  2.27737E-05  4.61328E-05  2.27077E-05  4.64242E-05  2.28331E-05  4.62814E-04  2.27720E-04
  -42.0000  1.12489E-03  3.68360E-05  2.25850E-05  7.36720E-05  4.51699E-05  1.36612E-04  1.39096E-04  1.36373E-04  1.39074E-04  1.36619E-04  1.39094E-04  8.19208E-04  8.34526E-04  4.77030E-05  2.45913E-05  4.73849E-05  2.44486E-05  4.75405E-05  2.45208E-05  4.73856E-05  2.44491E-05  4.76909E-05  2.45857E-05  4.75410E-04  2.45191E-04
  -41.5000  1.17439E-03  3.70695E-05  2.39472E-05  7.41391E-05  4.78945E-05  1.30796E-04  1.43902E-04  1.30536E-04  1.43871E-04  1.30804E-04  1.43901E-04  7.84273E-04  8.63348E-04  4.90275E-05  2.63930E-05  4.86942E-05  2.62381E-05  4.88558E-05  2.63162E-05  4.86948E-05  2.62386E-05  4.90149E-05  2.63870E-05  4.88575E-04  2.63146E-04
  -41.0000  1.22323E-03  3.73310E-05  2.53191E-05  7.46620E-05  5.06383E-05  1.25431E-04  1.48512E-04  1.25150E-04  1.48470E-04  1.25440E-04  1.48511E-04  7.52042E-04  8.90985E-04  5.04128E-05  2.82456E-05  5.00634E-05  2.80779E-05  5.02311E-05  2.81622E-05  5.00639E-05  2.80784E-05  5.03996E-05  2.82391E-05  5.02342E-04  2.81606E-04
  -40.5000  1.27153E-03  3.76215E-05  2.67017E-05  7.52429E-05  5.34034E-05  1.20475E-04  1.52939E-04  1.20171E-04  1.52886E-04  1.20484E-04  1.52938E-04  7.22260E-04  9.17527E-04  5.18628E-05  3.01516E-05  5.14964E-05  2.99703E-05  5.16704E-05  3.00610E-05  5.14968E-05  2.99708E-05  5.18491E-05  3.01445E-05  5.16751E-04  3.00597E-04
  -40.0000  1.31939E-03  3.79424E-05  2.80961E-05  7.58848E-05  5.61921E-05  1.15890E-04  1.57198E-04  1.15565E-04  1.57133E-04  1.15900E-04  1.57198E-04  6.94709E-04  9.43057E-04  5.33825E-05  3.21133E-05  5.29981E-05  3.19180E-05  5.31783E-05  3.20153E-05  5.29983E-05  3.19185E-05  5.33681E-05  3.21058E-05  5.31850E-04  3.20142E-04
  -39.5000  1.36693E-03  3.82951E-05  2.95034E-05  7.65903E-05  5.90068E-05  1.11646E-04  1.61301E-04  1.11298E-04  1.61223E-04  1.11656E-04  1.61301E-04  6.69200E-04  9.67650E-04  5.49758E-05  3.41337E-05  5.45726E-05  3.39235E-05  5.47589E-05  3.40276E-05  5.45725E-05  3.39240E-05  5.49608E-05  3.41255E-05  5.47681E-04  3.40269E-04
  -39.0000  1.41423E-03  3.86812E-05  3.09249E-05  7.73624E-05  6.18498E-05  1.07714E-04  1.65259E-04  1.07343E-04  1.65168E-04  1.07725E-04  1.65260E-04  6.45566E-04  9.91374E-04  5.66474E-05  3.62154E-05  5.62243E-05  3.59897E-05  5.64166E-05  3.61009E-05  5.62240E-05  3.59902E-05  5.66317E-05  3.62067E-05  5.64288E-04  3.61006E-04
  -38.5000  1.46140E-03  3.91025E-05  3.23619E-05  7.82051E-05  6.47238E-05  1.04070E-04  1.69084E-04  1.03675E-04  1.68978E-04  1.04081E-04  1.69085E-04  6.23652E-04  1.01429E-03  5.84030E-05  3.83617E-05  5.79591E-05  3.81196E-05  5.81569E-05  3.82381E-05  5.79584E-05  3.81201E-05  5.83865E-05  3.83524E-05  5.81728E-04  3.82384E-04
  -38.0000  1.50853E-03  3.95617E-05  3.38157E-05  7.91235E-05  6.76315E-05  1.00689E-04  1.72784E-04  1.00270E-04  1.72663E-04  1.00701E-04  1.72785E-04  6.03322E-04  1.03646E-03  6.02492E-05  4.05758E-05  5.97836E-05  4.03167E-05  5.99865E-05  4.04426E-05  5.97825E-05  4.03171E-05  6.02320E-05  4.05659E-05  6.00068E-04  4.04436E-04
