    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.31110E-04  1.00658E-03  3.69910E-05  2.01316E-03  7.39821E-05  1.19399E-04  4.38784E-06  1.19462E-04  4.39014E-06  1.19411E-04  4.38827E-06  7.16544E-04  2.63325E-05  2.34767E-05  8.62751E-07  2.35111E-05  8.64018E-07  2.34601E-05  8.62144E-07  2.35165E-05  8.64216E-07  2.34746E-05  8.62674E-07  2.34878E-04  8.63161E-06  4.30752E-05  1.58298E-06  4.30888E-05  1.58348E-06  4.30773E-05  1.58306E-06  4.30739E-05  1.58294E-06  4.30781E-05  1.58309E-06  4.30869E-05  1.58341E-06  4.30677E-05  1.58271E-06  6.03096E-04  2.21634E-05
  -49.5000  2.54486E-04  8.74933E-04  6.91442E-05  1.74987E-03  1.38288E-04  1.25202E-04  8.98894E-06  1.25270E-04  8.99373E-06  1.25215E-04  8.98983E-06  7.51374E-04  5.39450E-05  2.38055E-05  1.73759E-06  2.38417E-05  1.74018E-06  2.37884E-05  1.73635E-06  2.38469E-05  1.74057E-06  2.38035E-05  1.73744E-06  2.38172E-04  1.73843E-05  4.41282E-05  3.20467E-06  4.41422E-05  3.20568E-06  4.41305E-05  3.20483E-06  4.41269E-05  3.20457E-06  4.41313E-05  3.20489E-06  4.41404E-05  3.20555E-06  4.41206E-05  3.20411E-06  6.17840E-04  4.48686E-05
  -49.0000  3.72064E-04  7.67881E-04  9.73633E-05  1.53576E-03  1.94727E-04  1.31463E-04  1.38201E-05  1.31537E-04  1.38276E-05  1.31476E-04  1.38215E-05  7.88953E-04  8.29385E-05  2.41444E-05  2.62488E-06  2.41823E-05  2.62887E-06  2.41266E-05  2.62299E-06  2.41875E-05  2.62945E-06  2.41424E-05  2.62465E-06  2.41566E-04  2.62617E-05  4.52233E-05  4.86659E-06  4.52378E-05  4.86814E-06  4.52257E-05  4.86684E-06  4.52220E-05  4.86645E-06  4.52265E-05  4.86693E-06  4.52361E-05  4.86794E-06  4.52155E-05  4.86575E-06  6.33174E-04  6.81373E-05
  -48.5000  4.85369E-04  6.79695E-04  1.22342E-04  1.35939E-03  2.44683E-04  1.38232E-04  1.89001E-05  1.38311E-04  1.89105E-05  1.38245E-04  1.89019E-05  8.29576E-04  1.13425E-04  2.44944E-05  3.52503E-06  2.45342E-05  3.53048E-06  2.44759E-05  3.52246E-06  2.45393E-05  3.53125E-06  2.44924E-05  3.52473E-06  2.45073E-04  3.52679E-05  4.63641E-05  6.57044E-06  4.63790E-05  6.57253E-06  4.63666E-05  6.57078E-06  4.63627E-05  6.57025E-06  4.63673E-05  6.57090E-06  4.63773E-05  6.57228E-06  4.63559E-05  6.56930E-06  6.49146E-04  9.19930E-05
  -48.0000  5.95634E-04  6.06215E-04  1.44620E-04  1.21243E-03  2.89239E-04  1.45560E-04  2.42493E-05  1.45647E-04  2.42629E-05  1.45574E-04  2.42517E-05  8.73562E-04  1.45528E-04  2.48550E-05  4.43844E-06  2.48968E-05  4.44542E-06  2.48358E-05  4.43516E-06  2.49019E-05  4.44638E-06  2.48530E-05  4.43806E-06  2.48685E-04  4.44069E-05  4.75514E-05  8.31792E-06  4.75669E-05  8.32059E-06  4.75541E-05  8.31837E-06  4.75501E-05  8.31768E-06  4.75548E-05  8.31851E-06  4.75653E-05  8.32027E-06  4.75430E-05  8.31647E-06  6.65771E-04  1.16460E-04
  -47.5000  7.03881E-04  5.44346E-04  1.64624E-04  1.08869E-03  3.29248E-04  1.53517E-04  2.98909E-05  1.53612E-04  2.99080E-05  1.53532E-04  2.98939E-05  9.21323E-04  1.79386E-04  2.52280E-05  5.36555E-06  2.52719E-05  5.37415E-06  2.52079E-05  5.36154E-06  2.52770E-05  5.37529E-06  2.52259E-05  5.36510E-06  2.52422E-04  5.36833E-05  4.87906E-05  1.01109E-05  4.88066E-05  1.01142E-05  4.87934E-05  1.01115E-05  4.87892E-05  1.01107E-05  4.87941E-05  1.01117E-05  4.88050E-05  1.01138E-05  4.87819E-05  1.01092E-05  6.83122E-04  1.41564E-04
  -47.0000  8.10980E-04  4.91749E-04  1.82695E-04  9.83498E-04  3.65391E-04  1.62179E-04  3.58509E-05  1.62283E-04  3.58718E-05  1.62196E-04  3.58545E-05  9.73315E-04  2.15154E-04  2.56130E-05  6.30681E-06  2.56592E-05  6.31711E-06  2.55920E-05  6.30203E-06  2.56643E-05  6.31844E-06  2.56109E-05  6.30628E-06  2.56279E-04  6.31013E-05  5.00826E-05  1.19514E-05  5.00993E-05  1.19553E-05  5.00856E-05  1.19521E-05  5.00812E-05  1.19511E-05  5.00863E-05  1.19523E-05  5.00976E-05  1.19549E-05  5.00736E-05  1.19493E-05  7.01213E-04  1.67333E-04
  -46.5000  9.17692E-04  4.46684E-04  1.99111E-04  8.93368E-04  3.98222E-04  1.71631E-04  4.21582E-05  1.71746E-04  4.21833E-05  1.71649E-04  4.21624E-05  1.03005E-03  2.53008E-04  2.60108E-05  7.26269E-06  2.60594E-05  7.27478E-06  2.59889E-05  7.25710E-06  2.60646E-05  7.27630E-06  2.60087E-05  7.26208E-06  2.60265E-04  7.26659E-05  5.14318E-05  1.38415E-05  5.14491E-05  1.38460E-05  5.14350E-05  1.38423E-05  5.14303E-05  1.38411E-05  5.14357E-05  1.38425E-05  5.14475E-05  1.38455E-05  5.14225E-05  1.38391E-05  7.20104E-04  1.93796E-04
  -46.0000  1.02470E-03  4.07791E-04  2.14097E-04  8.15583E-04  4.28194E-04  1.81968E-04  4.88454E-05  1.82095E-04  4.88752E-05  1.81988E-04  4.88504E-05  1.09210E-03  2.93142E-04  2.64210E-05  8.23365E-06  2.64722E-05  8.24761E-06  2.63981E-05  8.22721E-06  2.64775E-05  8.24933E-06  2.64188E-05  8.23296E-06  2.64375E-04  8.23815E-05  5.28399E-05  1.57834E-05  5.28579E-05  1.57885E-05  5.28432E-05  1.57843E-05  5.28383E-05  1.57829E-05  5.28439E-05  1.57845E-05  5.28563E-05  1.57880E-05  5.28302E-05  1.57806E-05  7.39819E-04  2.20984E-04
  -45.5000  1.13264E-03  3.74007E-04  2.27841E-04  7.48014E-04  4.55683E-04  1.93308E-04  5.59494E-05  1.93449E-04  5.59843E-05  1.93330E-04  5.59551E-05  1.16017E-03  3.35778E-04  2.68453E-05  9.22020E-06  2.68993E-05  9.23614E-06  2.68213E-05  9.21287E-06  2.69046E-05  9.23805E-06  2.68431E-05  9.21942E-06  2.68627E-04  9.22534E-05  5.43123E-05  1.77793E-05  5.43311E-05  1.77852E-05  5.43159E-05  1.77803E-05  5.43108E-05  1.77788E-05  5.43165E-05  1.77806E-05  5.43295E-05  1.77845E-05  5.43022E-05  1.77761E-05  7.60437E-04  2.48930E-04
