    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.32136E-04  1.02478E-03  3.76599E-05  2.04956E-03  7.53198E-05  1.18491E-04  4.35448E-06  1.18553E-04  4.35673E-06  1.18510E-04  4.35517E-06  7.11109E-04  2.61328E-05  2.33766E-05  8.59075E-07  2.34046E-05  8.60102E-07  2.33639E-05  8.58607E-07  2.34115E-05  8.60355E-07  2.33738E-05  8.58972E-07  2.33861E-04  8.59422E-06  4.29307E-05  1.57767E-06  4.29427E-05  1.57812E-06  4.29335E-05  1.57778E-06  4.29296E-05  1.57763E-06  4.29345E-05  1.57781E-06  4.29404E-05  1.57803E-06  4.29248E-05  1.57746E-06  6.01072E-04  2.20890E-05
  -49.5000  2.56260E-04  8.89588E-04  7.03517E-05  1.77918E-03  1.40703E-04  1.24228E-04  8.91976E-06  1.24294E-04  8.92445E-06  1.24248E-04  8.92121E-06  7.45539E-04  5.35308E-05  2.37034E-05  1.73016E-06  2.37322E-05  1.73224E-06  2.36902E-05  1.72921E-06  2.37396E-05  1.73277E-06  2.37004E-05  1.72995E-06  2.37131E-04  1.73086E-05  4.39794E-05  3.19389E-06  4.39918E-05  3.19478E-06  4.39823E-05  3.19410E-06  4.39784E-05  3.19381E-06  4.39834E-05  3.19417E-06  4.39894E-05  3.19461E-06  4.39734E-05  3.19345E-06  6.15756E-04  4.47176E-05
  -49.0000  3.74367E-04  7.79834E-04  9.90100E-05  1.55967E-03  1.98020E-04  1.30414E-04  1.37124E-05  1.30486E-04  1.37197E-05  1.30436E-04  1.37147E-05  7.82673E-04  8.22935E-05  2.40395E-05  2.61359E-06  2.40693E-05  2.61677E-06  2.40258E-05  2.61214E-06  2.40772E-05  2.61759E-06  2.40364E-05  2.61327E-06  2.40496E-04  2.61467E-05  4.50692E-05  4.85015E-06  4.50820E-05  4.85152E-06  4.50721E-05  4.85047E-06  4.50681E-05  4.85003E-06  4.50733E-05  4.85059E-06  4.50794E-05  4.85125E-06  4.50630E-05  4.84949E-06  6.31014E-04  6.79070E-05
  -48.5000  4.88026E-04  6.89568E-04  1.24351E-04  1.37914E-03  2.48702E-04  1.37099E-04  1.87507E-05  1.37177E-04  1.87609E-05  1.37123E-04  1.87539E-05  8.22798E-04  1.12531E-04  2.43863E-05  3.50978E-06  2.44172E-05  3.51409E-06  2.43721E-05  3.50780E-06  2.44256E-05  3.51521E-06  2.43830E-05  3.50933E-06  2.43968E-04  3.51124E-05  4.62038E-05  6.54811E-06  4.62170E-05  6.54996E-06  4.62068E-05  6.54854E-06  4.62026E-05  6.54795E-06  4.62081E-05  6.54870E-06  4.62143E-05  6.54960E-06  4.61974E-05  6.54721E-06  6.46900E-04  9.16801E-05
  -48.0000  5.98500E-04  6.14454E-04  1.46932E-04  1.22891E-03  2.93864E-04  1.44337E-04  2.40549E-05  1.44422E-04  2.40683E-05  1.44364E-04  2.40591E-05  8.66245E-04  1.44365E-04  2.47446E-05  4.41912E-06  2.47767E-05  4.42461E-06  2.47297E-05  4.41660E-06  2.47855E-05  4.42606E-06  2.47411E-05  4.41854E-06  2.47555E-04  4.42099E-05  4.73862E-05  8.28952E-06  4.74000E-05  8.29188E-06  4.73894E-05  8.29006E-06  4.73851E-05  8.28932E-06  4.73907E-05  8.29028E-06  4.73972E-05  8.29141E-06  4.73797E-05  8.28838E-06  6.63457E-04  1.16062E-04
  -47.5000  7.06835E-04  5.51287E-04  1.67191E-04  1.10257E-03  3.34383E-04  1.52191E-04  2.96479E-05  1.52285E-04  2.96647E-05  1.52221E-04  2.96531E-05  9.13393E-04  1.77931E-04  2.51145E-05  5.34206E-06  2.51479E-05  5.34878E-06  2.50990E-05  5.33897E-06  2.51573E-05  5.35058E-06  2.51108E-05  5.34135E-06  2.51259E-04  5.34435E-05  4.86190E-05  1.00762E-05  4.86333E-05  1.00791E-05  4.86223E-05  1.00769E-05  4.86179E-05  1.00760E-05  4.86238E-05  1.00772E-05  4.86303E-05  1.00785E-05  4.86123E-05  1.00749E-05  6.80718E-04  1.41078E-04
  -47.0000  8.13916E-04  4.97651E-04  1.85480E-04  9.95302E-04  3.70959E-04  1.60738E-04  3.55549E-05  1.60841E-04  3.55755E-05  1.60771E-04  3.55614E-05  9.64701E-04  2.13383E-04  2.54963E-05  6.27903E-06  2.55313E-05  6.28704E-06  2.54801E-05  6.27534E-06  2.55412E-05  6.28920E-06  2.54924E-05  6.27818E-06  2.55083E-04  6.28176E-05  4.99048E-05  1.19102E-05  4.99196E-05  1.19136E-05  4.99082E-05  1.19110E-05  4.99036E-05  1.19099E-05  4.99097E-05  1.19113E-05  4.99165E-05  1.19129E-05  4.98978E-05  1.19086E-05  6.98720E-04  1.66755E-04
  -46.5000  9.20514E-04  4.51736E-04  2.02081E-04  9.03473E-04  4.04161E-04  1.70061E-04  4.18045E-05  1.70175E-04  4.18293E-05  1.70097E-04  4.18123E-05  1.02067E-03  2.50892E-04  2.58908E-05  7.23050E-06  2.59274E-05  7.23986E-06  2.58739E-05  7.22619E-06  2.59379E-05  7.24240E-06  2.58867E-05  7.22949E-06  2.59033E-04  7.23369E-05  5.12469E-05  1.37935E-05  5.12624E-05  1.37975E-05  5.12505E-05  1.37944E-05  5.12457E-05  1.37932E-05  5.12521E-05  1.37948E-05  5.12591E-05  1.37967E-05  5.12397E-05  1.37916E-05  7.17513E-04  1.93123E-04
  -46.0000  1.02732E-03  4.12144E-04  2.17227E-04  8.24288E-04  4.34453E-04  1.80254E-04  4.84287E-05  1.80380E-04  4.84581E-05  1.80294E-04  4.84380E-05  1.08186E-03  2.90650E-04  2.62975E-05  8.19692E-06  2.63359E-05  8.20768E-06  2.62798E-05  8.19196E-06  2.63470E-05  8.21063E-06  2.62932E-05  8.19575E-06  2.63107E-04  8.20059E-05  5.26477E-05  1.57283E-05  5.26638E-05  1.57329E-05  5.26514E-05  1.57293E-05  5.26465E-05  1.57279E-05  5.26531E-05  1.57298E-05  5.26604E-05  1.57319E-05  5.26403E-05  1.57261E-05  7.37126E-04  2.20212E-04
  -45.5000  1.13498E-03  3.77780E-04  2.31110E-04  7.55560E-04  4.62220E-04  1.91431E-04  5.54637E-05  1.91571E-04  5.54982E-05  1.91476E-04  5.54746E-05  1.14895E-03  3.32873E-04  2.67186E-05  9.17881E-06  2.67589E-05  9.19105E-06  2.67000E-05  9.17317E-06  2.67705E-05  9.19443E-06  2.67140E-05  9.17748E-06  2.67324E-04  9.18299E-05  5.41129E-05  1.77169E-05  5.41297E-05  1.77221E-05  5.41169E-05  1.77181E-05  5.41117E-05  1.77165E-05  5.41186E-05  1.77186E-05  5.41262E-05  1.77210E-05  5.41052E-05  1.77144E-05  7.57642E-04  2.48055E-04
