    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -50.0000  9.51918E-05  3.65743E-05  1.34408E-06  7.31486E-05  2.68816E-06  3.65128E-04  1.34182E-05  3.65401E-04  1.34282E-05  3.65146E-04  1.34189E-05  2.19135E-03  8.05306E-05  3.26574E-05  1.20014E-06  3.24986E-05  1.19430E-06  3.25832E-05  1.19741E-06  3.24986E-05  1.19430E-06  3.26634E-05  1.20036E-06  3.25802E-04  1.19730E-05
  -49.5000  1.84251E-04  3.64372E-05  2.68312E-06  7.28744E-05  5.36625E-06  3.36213E-04  2.57738E-05  3.36424E-04  2.57916E-05  3.36228E-04  2.57750E-05  2.01773E-03  1.54681E-04  3.33631E-05  2.42621E-06  3.31975E-05  2.41429E-06  3.32860E-05  2.42065E-06  3.31974E-05  2.41428E-06  3.33693E-05  2.42666E-06  3.32827E-04  2.42042E-05
  -49.0000  2.67949E-04  3.63226E-05  4.01796E-06  7.26453E-05  8.03591E-06  3.10741E-04  3.71933E-05  3.10899E-04  3.72169E-05  3.10753E-04  3.71950E-05  1.86479E-03  2.23210E-04  3.40946E-05  3.67916E-06  3.39219E-05  3.66089E-06  3.40144E-05  3.67065E-06  3.39218E-05  3.66089E-06  3.41011E-05  3.67985E-06  3.40108E-04  3.67029E-05
  -48.5000  3.46944E-04  3.62304E-05  5.34940E-06  7.24609E-05  1.06988E-05  2.88200E-04  4.77844E-05  2.88311E-04  4.78121E-05  2.88211E-04  4.77866E-05  1.72944E-03  2.86766E-04  3.48525E-05  4.95997E-06  3.46725E-05  4.93509E-06  3.47689E-05  4.94839E-06  3.46724E-05  4.93507E-06  3.48593E-05  4.96090E-06  3.47651E-04  4.94788E-05
  -48.0000  4.21797E-04  3.61605E-05  6.67827E-06  7.23210E-05  1.33565E-05  2.68152E-04  5.76388E-05  2.68220E-04  5.76691E-05  2.68160E-04  5.76413E-05  1.60906E-03  3.45898E-04  3.56388E-05  6.26967E-06  3.54512E-05  6.23790E-06  3.55516E-05  6.25489E-06  3.54510E-05  6.23787E-06  3.56458E-05  6.27086E-06  3.55477E-04  6.25424E-05
  -47.5000  4.92995E-04  3.61129E-05  8.00540E-06  7.22258E-05  1.60108E-05  2.50248E-04  6.68353E-05  2.50279E-04  6.68666E-05  2.50254E-04  6.68379E-05  1.50156E-03  4.01080E-04  3.64549E-05  7.60937E-06  3.62593E-05  7.57040E-06  3.63638E-05  7.59123E-06  3.62590E-05  7.57037E-06  3.64622E-05  7.61082E-06  3.63598E-04  7.59044E-05
  -47.0000  5.60958E-04  3.60875E-05  9.33159E-06  7.21751E-05  1.86632E-05  2.34195E-04  7.54418E-05  2.34192E-04  7.54730E-05  2.34200E-04  7.54446E-05  1.40517E-03  4.52719E-04  3.73024E-05  8.98020E-06  3.70983E-05  8.93374E-06  3.72072E-05  8.95857E-06  3.70981E-05  8.93370E-06  3.73099E-05  8.98194E-06  3.72032E-04  8.95763E-05
  -46.5000  6.26057E-04  3.60846E-05  1.06577E-05  7.21691E-05  2.13153E-05  2.19753E-04  8.35176E-05  2.19718E-04  8.35475E-05  2.19756E-04  8.35205E-05  1.31846E-03  5.01171E-04  3.81826E-05  1.03834E-05  3.79697E-05  1.03291E-05  3.80830E-05  1.03581E-05  3.79695E-05  1.03291E-05  3.81905E-05  1.03854E-05  3.80791E-04  1.03570E-04
  -46.0000  6.88615E-04  3.61042E-05  1.19845E-05  7.22083E-05  2.39690E-05  2.06721E-04  9.11144E-05  2.06656E-04  9.11420E-05  2.06722E-04  9.11174E-05  1.24020E-03  5.46748E-04  3.90974E-05  1.18202E-05  3.88751E-05  1.17577E-05  3.89930E-05  1.17911E-05  3.88749E-05  1.17577E-05  3.91055E-05  1.18225E-05  3.89892E-04  1.17898E-04
  -45.5000  7.48920E-04  3.61466E-05  1.33128E-05  7.22931E-05  2.66257E-05  1.94921E-04  9.82776E-05  1.94829E-04  9.83019E-05  1.94921E-04  9.82806E-05  1.16934E-03  5.89720E-04  4.00486E-05  1.32920E-05  3.98166E-05  1.32210E-05  3.99392E-05  1.32588E-05  3.98164E-05  1.32209E-05  4.00571E-05  1.32946E-05  3.99356E-04  1.32574E-04
  -45.0000  8.07228E-04  3.62121E-05  1.46436E-05  7.24242E-05  2.92872E-05  1.84206E-04  1.05047E-04  1.84088E-04  1.05067E-04  1.84206E-04  1.05050E-04  1.10500E-03  6.30328E-04  4.10386E-05  1.48001E-05  4.07961E-05  1.47202E-05  4.09237E-05  1.47627E-05  4.07960E-05  1.47201E-05  4.10473E-05  1.48030E-05  4.09203E-04  1.47612E-04
  -44.5000  8.63766E-04  3.63010E-05  1.59776E-05  7.26020E-05  3.19553E-05  1.74451E-04  1.11458E-04  1.74308E-04  1.11473E-04  1.74449E-04  1.11461E-04  1.04642E-03  6.68783E-04  4.20694E-05  1.63461E-05  4.18160E-05  1.62569E-05  4.19487E-05  1.63043E-05  4.18160E-05  1.62568E-05  4.20785E-05  1.63494E-05  4.19457E-04  1.63027E-04
  -44.0000  9.18740E-04  3.64139E-05  1.73158E-05  7.28277E-05  3.46317E-05  1.65548E-04  1.17542E-04  1.65382E-04  1.17550E-04  1.65546E-04  1.17545E-04  9.92952E-04  7.05274E-04  4.31433E-05  1.79316E-05  4.28783E-05  1.78327E-05  4.30164E-05  1.78851E-05  4.28784E-05  1.78326E-05  4.31528E-05  1.79352E-05  4.30139E-04  1.78834E-04
  -43.5000  9.72336E-04  3.65510E-05  1.86591E-05  7.31021E-05  3.73181E-05  1.57407E-04  1.23326E-04  1.57217E-04  1.23328E-04  1.57404E-04  1.23329E-04  9.44055E-04  7.39967E-04  4.42627E-05  1.95582E-05  4.39854E-05  1.94491E-05  4.41291E-05  1.95068E-05  4.39856E-05  1.94490E-05  4.42725E-05  1.95622E-05  4.41271E-04  1.95051E-04
  -43.0000  1.02472E-03  3.67132E-05  2.00082E-05  7.34265E-05  4.00165E-05  1.49946E-04  1.28837E-04  1.49733E-04  1.28831E-04  1.49942E-04  1.28839E-04  8.99241E-04  7.73014E-04  4.54303E-05  2.12278E-05  4.51401E-05  2.11080E-05  4.52895E-05  2.11712E-05  4.51404E-05  2.11079E-05  4.54406E-05  2.12321E-05  4.52882E-04  2.11694E-04
  -42.5000  1.07606E-03  3.69011E-05  2.13643E-05  7.38022E-05  4.27287E-05  1.43094E-04  1.34095E-04  1.42859E-04  1.34080E-04  1.43090E-04  1.34098E-04  8.58085E-04  8.04548E-04  4.66492E-05  2.29421E-05  4.63452E-05  2.28111E-05  4.65006E-05  2.28801E-05  4.63457E-05  2.28111E-05  4.66598E-05  2.29468E-05  4.65001E-04  2.28782E-04
  -42.0000  1.12648E-03  3.71155E-05  2.27283E-05  7.42310E-05  4.54566E-05  1.36792E-04  1.39122E-04  1.36533E-04  1.39098E-04  1.36786E-04  1.39125E-04  8.20223E-04  8.34690E-04  4.79227E-05  2.47032E-05  4.76042E-05  2.45605E-05  4.77658E-05  2.46354E-05  4.76049E-05  2.45605E-05  4.79337E-05  2.47084E-05  4.77663E-04  2.46336E-04
  -41.5000  1.17613E-03  3.73573E-05  2.41012E-05  7.47146E-05  4.82023E-05  1.30985E-04  1.43936E-04  1.30705E-04  1.43901E-04  1.30980E-04  1.43938E-04  7.85340E-04  8.63551E-04  4.92538E-05  2.65133E-05  4.89199E-05  2.63583E-05  4.90878E-05  2.64394E-05  4.89208E-05  2.63583E-05  4.92653E-05  2.65188E-05  4.90895E-04  2.64376E-04
