    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -50.0000  9.51812E-05  3.64017E-05  1.33774E-06  7.28034E-05  2.67548E-06  3.65385E-04  1.34277E-05  3.65638E-04  1.34370E-05  3.65367E-04  1.34270E-05  2.19278E-03  8.05832E-05  3.25230E-05  1.19520E-06  3.23642E-05  1.18936E-06  3.24457E-05  1.19236E-06  3.23646E-05  1.18938E-06  3.25168E-05  1.19497E-06  3.24428E-04  1.19225E-05
  -49.5000  1.84216E-04  3.62609E-05  2.67030E-06  7.25218E-05  5.34060E-06  3.36408E-04  2.57904E-05  3.36604E-04  2.58070E-05  3.36393E-04  2.57892E-05  2.01881E-03  1.54773E-04  3.32257E-05  2.41622E-06  3.30601E-05  2.40430E-06  3.31454E-05  2.41043E-06  3.30606E-05  2.40433E-06  3.32193E-05  2.41576E-06  3.31422E-04  2.41021E-05
  -49.0000  2.67877E-04  3.61425E-05  3.99851E-06  7.22850E-05  7.99703E-06  3.10884E-04  3.72152E-05  3.11031E-04  3.72371E-05  3.10872E-04  3.72135E-05  1.86557E-03  2.23332E-04  3.39541E-05  3.66401E-06  3.37814E-05  3.64574E-06  3.38705E-05  3.65514E-06  3.37819E-05  3.64580E-06  3.39474E-05  3.66330E-06  3.38671E-04  3.65480E-05
  -48.5000  3.46824E-04  3.60462E-05  5.32319E-06  7.20925E-05  1.06464E-05  2.88301E-04  4.78101E-05  2.88403E-04  4.78357E-05  2.88291E-04  4.78080E-05  1.72999E-03  2.86908E-04  3.47085E-05  4.93952E-06  3.45285E-05  4.91464E-06  3.46214E-05  4.92746E-06  3.45291E-05  4.91472E-06  3.47016E-05  4.93856E-06  3.46178E-04  4.92698E-05
  -48.0000  4.21620E-04  3.59721E-05  6.64514E-06  7.19442E-05  1.32903E-05  2.68215E-04  5.76668E-05  2.68279E-04  5.76948E-05  2.68207E-04  5.76644E-05  1.60940E-03  3.46052E-04  3.54914E-05  6.24381E-06  3.53036E-05  6.21202E-06  3.54005E-05  6.22840E-06  3.53043E-05  6.21213E-06  3.54842E-05  6.24258E-06  3.53968E-04  6.22779E-05
  -47.5000  4.92753E-04  3.59201E-05  7.96518E-06  7.18403E-05  1.59304E-05  2.50279E-04  6.68644E-05  2.50308E-04  6.68934E-05  2.50273E-04  6.68618E-05  1.50172E-03  4.01239E-04  3.63040E-05  7.57795E-06  3.61082E-05  7.53898E-06  3.62091E-05  7.55906E-06  3.61089E-05  7.53910E-06  3.62966E-05  7.57646E-06  3.62054E-04  7.55831E-05
  -47.0000  5.60644E-04  3.58902E-05  9.28412E-06  7.17803E-05  1.85682E-05  2.34199E-04  7.54710E-05  2.34196E-04  7.55000E-05  2.34195E-04  7.54683E-05  1.40518E-03  4.52879E-04  3.71476E-05  8.94310E-06  3.69434E-05  8.89662E-06  3.70484E-05  8.92057E-06  3.69441E-05  8.89678E-06  3.71399E-05  8.94132E-06  3.70447E-04  8.91968E-05
  -46.5000  6.25663E-04  3.58825E-05  1.06028E-05  7.17649E-05  2.12056E-05  2.19733E-04  8.35460E-05  2.19700E-04  8.35738E-05  2.19730E-04  8.35432E-05  1.31833E-03  5.01326E-04  3.80241E-05  1.03405E-05  3.78111E-05  1.02862E-05  3.79204E-05  1.03141E-05  3.78118E-05  1.02863E-05  3.80161E-05  1.03384E-05  3.79167E-04  1.03131E-04
  -46.0000  6.88135E-04  3.58970E-05  1.19220E-05  7.17941E-05  2.38439E-05  2.06679E-04  9.11413E-05  2.06619E-04  9.11669E-05  2.06677E-04  9.11385E-05  1.23995E-03  5.46894E-04  3.89346E-05  1.17713E-05  3.87123E-05  1.17088E-05  3.88260E-05  1.17409E-05  3.87130E-05  1.17090E-05  3.89263E-05  1.17689E-05  3.88225E-04  1.17398E-04
  -45.5000  7.48349E-04  3.59343E-05  1.32425E-05  7.18685E-05  2.64851E-05  1.94860E-04  9.83023E-05  1.94775E-04  9.83248E-05  1.94860E-04  9.82994E-05  1.16899E-03  5.89853E-04  3.98817E-05  1.32369E-05  3.96496E-05  1.31659E-05  3.97679E-05  1.32024E-05  3.96503E-05  1.31661E-05  3.98731E-05  1.32342E-05  3.97645E-04  1.32011E-04
  -45.0000  8.06560E-04  3.59943E-05  1.45653E-05  7.19886E-05  2.91306E-05  1.84128E-04  1.05069E-04  1.84019E-04  1.05087E-04  1.84129E-04  1.05066E-04  1.10455E-03  6.30445E-04  4.08672E-05  1.47388E-05  4.06247E-05  1.46588E-05  4.07478E-05  1.46998E-05  4.06254E-05  1.46591E-05  4.08582E-05  1.47357E-05  4.07447E-04  1.46984E-04
  -44.5000  8.62996E-04  3.60776E-05  1.58911E-05  7.21551E-05  3.17822E-05  1.74358E-04  1.11476E-04  1.74226E-04  1.11490E-04  1.74360E-04  1.11474E-04  1.04589E-03  6.68880E-04  4.18935E-05  1.62783E-05  4.16401E-05  1.61891E-05  4.17681E-05  1.62348E-05  4.16408E-05  1.61894E-05  4.18841E-05  1.62749E-05  4.17653E-04  1.62333E-04
  -44.0000  9.17862E-04  3.61844E-05  1.72209E-05  7.23688E-05  3.44417E-05  1.65442E-04  1.17556E-04  1.65287E-04  1.17564E-04  1.65445E-04  1.17554E-04  9.92348E-04  7.05348E-04  4.29626E-05  1.78572E-05  4.26976E-05  1.77582E-05  4.28308E-05  1.78088E-05  4.26983E-05  1.77585E-05  4.29528E-05  1.78534E-05  4.28284E-04  1.78072E-04
  -43.5000  9.71346E-04  3.63154E-05  1.85554E-05  7.26307E-05  3.71109E-05  1.57288E-04  1.23337E-04  1.57111E-04  1.23338E-04  1.57292E-04  1.23334E-04  9.43382E-04  7.40017E-04  4.40769E-05  1.94770E-05  4.37997E-05  1.93678E-05  4.39383E-05  1.94235E-05  4.38005E-05  1.93681E-05  4.40667E-05  1.94728E-05  4.39364E-04  1.94218E-04
  -43.0000  1.02362E-03  3.64710E-05  1.98957E-05  7.29419E-05  3.97914E-05  1.49815E-04  1.28842E-04  1.49617E-04  1.28836E-04  1.49820E-04  1.28840E-04  8.98505E-04  7.73037E-04  4.52392E-05  2.11395E-05  4.49491E-05  2.10196E-05  4.50932E-05  2.10806E-05  4.49498E-05  2.10200E-05  4.52286E-05  2.11350E-05  4.50920E-04  2.10789E-04
  -42.5000  1.07483E-03  3.66519E-05  2.12427E-05  7.33038E-05  4.24853E-05  1.42953E-04  1.34096E-04  1.42734E-04  1.34082E-04  1.42958E-04  1.34093E-04  8.57289E-04  8.04541E-04  4.64524E-05  2.28466E-05  4.61488E-05  2.27156E-05  4.62985E-05  2.27821E-05  4.61494E-05  2.27160E-05  4.64414E-05  2.28417E-05  4.62981E-04  2.27804E-04
  -42.0000  1.12513E-03  3.68591E-05  2.25972E-05  7.37183E-05  4.51944E-05  1.36640E-04  1.39117E-04  1.36400E-04  1.39094E-04  1.36646E-04  1.39115E-04  8.19371E-04  8.34653E-04  4.77202E-05  2.46002E-05  4.74021E-05  2.44576E-05  4.75578E-05  2.45298E-05  4.74027E-05  2.44580E-05  4.77087E-05  2.45949E-05  4.75583E-04  2.45281E-04
  -41.5000  1.17464E-03  3.70932E-05  2.39604E-05  7.41865E-05  4.79207E-05  1.30824E-04  1.43925E-04  1.30563E-04  1.43892E-04  1.30831E-04  1.43923E-04  7.84435E-04  8.63480E-04  4.90450E-05  2.64026E-05  4.87117E-05  2.62477E-05  4.88734E-05  2.63259E-05  4.87123E-05  2.62481E-05  4.90330E-05  2.63969E-05  4.88751E-04  2.63242E-04
  -41.0000  1.22350E-03  3.73553E-05  2.53331E-05  7.47106E-05  5.06663E-05  1.25459E-04  1.48535E-04  1.25176E-04  1.48492E-04  1.25467E-04  1.48534E-04  7.52203E-04  8.91123E-04  5.04307E-05  2.82559E-05  5.00813E-05  2.80881E-05  5.02491E-05  2.81725E-05  5.00817E-05  2.80886E-05  5.04181E-05  2.82497E-05  5.02522E-04  2.81710E-04
  -40.5000  1.27181E-03  3.76464E-05  2.67166E-05  7.52929E-05  5.34332E-05  1.20502E-04  1.52964E-04  1.20198E-04  1.52910E-04  1.20511E-04  1.52963E-04  7.22421E-04  9.17672E-04  5.18813E-05  3.01625E-05  5.15150E-05  2.99813E-05  5.16890E-05  3.00720E-05  5.15152E-05  2.99818E-05  5.18682E-05  3.01558E-05  5.16937E-04  3.00707E-04
  -40.0000  1.31969E-03  3.79681E-05  2.81119E-05  7.59362E-05  5.62238E-05  1.15917E-04  1.57223E-04  1.15591E-04  1.57158E-04  1.15926E-04  1.57223E-04  6.94868E-04  9.43208E-04  5.34016E-05  3.21250E-05  5.30173E-05  3.19296E-05  5.31975E-05  3.20270E-05  5.30174E-05  3.19301E-05  5.33879E-05  3.21178E-05  5.32043E-04  3.20259E-04
  -39.5000  1.36724E-03  3.83215E-05  2.95202E-05  7.66429E-05  5.90404E-05  1.11673E-04  1.61327E-04  1.11324E-04  1.61249E-04  1.11683E-04  1.61327E-04  6.69360E-04  9.67806E-04  5.49952E-05  3.41460E-05  5.45921E-05  3.39359E-05  5.47785E-05  3.40401E-05  5.45920E-05  3.39363E-05  5.49809E-05  3.41383E-05  5.47877E-04  3.40393E-04
  -39.0000  1.41456E-03  3.87083E-05  3.09427E-05  7.74166E-05  6.18854E-05  1.07742E-04  1.65287E-04  1.07369E-04  1.65194E-04  1.07752E-04  1.65287E-04  6.45725E-04  9.91536E-04  5.66674E-05  3.62285E-05  5.62444E-05  3.60028E-05  5.64368E-05  3.61141E-05  5.62440E-05  3.60033E-05  5.66525E-05  3.62202E-05  5.64490E-04  3.61138E-04
  -38.5000  1.46175E-03  3.91305E-05  3.23807E-05  7.82610E-05  6.47615E-05  1.04097E-04  1.69112E-04  1.03701E-04  1.69005E-04  1.04108E-04  1.69113E-04  6.23812E-04  1.01446E-03  5.84237E-05  3.83755E-05  5.79799E-05  3.81335E-05  5.81778E-05  3.82521E-05  5.79791E-05  3.81339E-05  5.84080E-05  3.83667E-05  5.81937E-04  3.82524E-04
  -38.0000  1.50889E-03  3.95905E-05  3.38357E-05  7.91810E-05  6.76713E-05  1.00717E-04  1.72814E-04  1.00296E-04  1.72691E-04  1.00728E-04  1.72814E-04  6.03482E-04  1.03664E-03  6.02705E-05  4.05904E-05  5.98050E-05  4.03313E-05  6.00079E-05  4.04573E-05  5.98038E-05  4.03317E-05  6.02541E-05  4.05810E-05  6.00282E-04  4.04584E-04
  -37.5000  1.55609E-03  4.00907E-05  3.53090E-05  8.01813E-05  7.06179E-05  9.75816E-05  1.76400E-04  9.71360E-05  1.76261E-04  9.75930E-05  1.76401E-04  5.84621E-04  1.05812E-03  6.22137E-05  4.28768E-05  6.17257E-05  4.25997E-05  6.19327E-05  4.27333E-05  6.17240E-05  4.26000E-05  6.21965E-05  4.28667E-05  6.19585E-04  4.27353E-04
  -37.0000  1.60344E-03  4.06340E-05  3.68022E-05  8.12681E-05  7.36045E-05  9.46739E-05  1.79879E-04  9.42025E-05  1.79723E-04  9.46855E-05  1.79881E-04  5.67124E-04  1.07896E-03  6.42603E-05  4.52383E-05  6.37493E-05  4.49424E-05  6.39589E-05  4.50838E-05  6.37469E-05  4.49427E-05  6.42424E-05  4.52275E-05  6.39916E-04  4.50869E-04
  -36.5000  1.65102E-03  4.12246E-05  3.83172E-05  8.24492E-05  7.66344E-05  9.19778E-05  1.83259E-04  9.14800E-05  1.83085E-04  9.19895E-05  1.83261E-04  5.50895E-04  1.09921E-03  6.64189E-05  4.76791E-05  6.58845E-05  4.73636E-05  6.60947E-05  4.75127E-05  6.58812E-05  4.73638E-05  6.64002E-05  4.76677E-05  6.61359E-04  4.75174E-04
  -36.0000  1.69892E-03  4.18670E-05  3.98558E-05  8.37339E-05  7.97116E-05  8.94802E-05  1.86547E-04  8.89556E-05  1.86354E-04  8.94918E-05  1.86550E-04  5.35855E-04  1.11890E-03  6.86981E-05  5.02037E-05  6.81404E-05  4.98678E-05  6.83483E-05  5.00244E-05  6.81359E-05  4.98677E-05  6.86785E-05  5.01916E-05  6.84002E-04  5.00310E-04
  -35.5000  1.74725E-03  4.25667E-05  4.14201E-05  8.51334E-05  8.28402E-05  8.71701E-05  1.89751E-04  8.66185E-05  1.89537E-04  8.71815E-05  1.89754E-04  5.21940E-04  1.13808E-03  7.11067E-05  5.28169E-05  7.05267E-05  5.24596E-05  7.07279E-05  5.26236E-05  7.05208E-05  5.24593E-05  7.10863E-05  5.28039E-05  7.07937E-04  5.26327E-04
  -35.0000  1.79609E-03  4.33316E-05  4.30125E-05  8.66631E-05  8.60250E-05  8.50376E-05  1.92876E-04  8.44592E-05  1.92641E-04  8.50483E-05  1.92879E-04  5.09090E-04  1.15679E-03  7.36562E-05  5.55237E-05  7.30561E-05  5.51443E-05  7.32444E-05  5.53153E-05  7.30482E-05  5.51438E-05  7.36351E-05  5.55100E-05  7.33280E-04  5.53274E-04
  -34.5000  1.84555E-03  4.41717E-05  4.46358E-05  8.83434E-05  8.92715E-05  8.30753E-05  1.95929E-04  8.24711E-05  1.95671E-04  8.30848E-05  1.95932E-04  4.97262E-04  1.17507E-03  7.63590E-05  5.83298E-05  7.57427E-05  5.79278E-05  7.59089E-05  5.81049E-05  7.57322E-05  5.79269E-05  7.63371E-05  5.83153E-05  7.60160E-04  5.81210E-04
  -34.0000  1.89572E-03  4.51014E-05  4.62932E-05  9.02027E-05  9.25864E-05  8.12787E-05  1.98916E-04  8.06508E-05  1.98635E-04  8.12862E-05  1.98920E-04  4.86431E-04  1.19294E-03  7.92290E-05  6.12414E-05  7.86034E-05  6.08165E-05  7.87337E-05  6.09983E-05  7.85893E-05  6.08150E-05  7.92064E-05  6.12261E-05  7.88724E-04  6.10195E-04
  -33.5000  1.94673E-03  4.61417E-05  4.79889E-05  9.22833E-05  9.59778E-05  7.96468E-05  2.01843E-04  7.89996E-05  2.01538E-04  7.96513E-05  2.01847E-04  4.76595E-04  1.21046E-03  8.22825E-05  6.42653E-05  8.16598E-05  6.38174E-05  8.17330E-05  6.40020E-05  8.16407E-05  6.38152E-05  8.22596E-05  6.42491E-05  8.19151E-04  6.40298E-04
  -33.0000  1.99870E-03  4.73259E-05  4.97281E-05  9.46518E-05  9.94562E-05  7.81845E-05  2.04716E-04  7.75257E-05  2.04387E-04  7.81842E-05  2.04720E-04  4.67789E-04  1.22765E-03  8.55401E-05  6.74088E-05  8.49407E-05  6.69389E-05  8.49235E-05  6.71229E-05  8.49145E-05  6.69358E-05  8.55173E-05  6.73918E-05  8.51672E-04  6.71596E-04
  -32.5000  2.05177E-03  4.87092E-05  5.15181E-05  9.74185E-05  1.03036E-04  7.69066E-05  2.07542E-04  7.62506E-05  2.07190E-04  7.68987E-05  2.07546E-04  4.60112E-04  1.24456E-03  8.90264E-05  7.06805E-05  8.84859E-05  7.01907E-05  8.83236E-05  7.03687E-05  8.84492E-05  7.01862E-05  8.90044E-05  7.06626E-05  8.86579E-04  7.04177E-04
  -32.0000  2.10612E-03  5.03931E-05  5.33700E-05  1.00786E-04  1.06740E-04  7.58468E-05  2.10330E-04  7.52204E-05  2.09954E-04  7.58264E-05  2.10333E-04  4.53787E-04  1.26123E-03  9.27774E-05  7.40900E-05  9.23605E-05  7.35849E-05  9.19575E-05  7.37481E-05  9.23072E-05  7.35784E-05  9.27576E-05  7.40714E-05  9.24320E-04  7.38146E-04
  -31.5000  2.16198E-03  5.25833E-05  5.53024E-05  1.05167E-04  1.10605E-04  7.50818E-05  2.13089E-04  7.45381E-05  2.12693E-04  7.50398E-05  2.13090E-04  4.49319E-04  1.27774E-03  9.68494E-05  7.76491E-05  9.66808E-05  7.71378E-05  9.58585E-05  7.72708E-05  9.66001E-05  7.71284E-05  9.68347E-05  7.76300E-05  9.65647E-04  7.73632E-04
  -31.0000  2.21973E-03  5.57566E-05  5.73515E-05  1.11513E-04  1.14703E-04  7.47985E-05  2.15838E-04  7.44528E-05  2.15429E-04  7.47156E-05  2.15836E-04  4.47934E-04  1.29421E-03  1.01347E-04  8.13736E-05  1.01692E-04  8.08750E-05  1.00078E-04  8.09486E-05  1.01561E-04  8.08607E-05  1.01344E-04  8.13543E-05  1.01204E-03  8.10824E-04
  -30.5000  2.28011E-03  6.12643E-05  5.96029E-05  1.22529E-04  1.19206E-04  7.55328E-05  2.18613E-04  7.56780E-05  2.18210E-04  7.53610E-05  2.18605E-04  4.53144E-04  1.31086E-03  1.06531E-04  8.52885E-05  1.08046E-04  8.48456E-05  1.04726E-04  8.47972E-05  1.07810E-04  8.48227E-05  1.06554E-04  8.52701E-05  1.06733E-03  8.50048E-04
  -30.0000  2.31919E-03  7.43458E-05  6.12422E-05  1.48692E-04  1.22484E-04  7.93451E-05  2.20363E-04  8.09637E-05  2.19995E-04  7.89240E-05  2.20346E-04  4.78466E-04  1.32141E-03  1.13316E-04  8.77871E-05  1.18124E-04  8.74502E-05  1.10165E-04  8.72263E-05  1.17602E-04  8.74158E-05  1.13421E-04  8.77710E-05  1.14526E-03  8.75301E-04
  -29.9000  2.33254E-03  7.94410E-05  6.18260E-05  1.58882E-04  1.23652E-04  8.10854E-05  2.20959E-04  8.33223E-05  2.20608E-04  8.05612E-05  2.20938E-04  4.89938E-04  1.32501E-03  1.15130E-04  8.86333E-05  1.21271E-04  8.83415E-05  1.11450E-04  8.80454E-05  1.20634E-04  8.83024E-05  1.15269E-04  8.86182E-05  1.16751E-03  8.83882E-04
  -29.8000  2.34631E-03  8.63435E-05  6.24607E-05  1.72687E-04  1.24921E-04  8.35257E-05  2.21573E-04  8.66167E-05  2.21245E-04  8.28593E-05  2.21547E-04  5.06003E-04  1.32873E-03  1.17254E-04  8.94951E-05  1.25206E-04  8.92617E-05  1.12865E-04  8.88750E-05  1.24412E-04  8.92168E-05  1.17441E-04  8.94814E-05  1.19436E-03  8.92660E-04
  -29.7000  2.36064E-03  9.60818E-05  6.31669E-05  1.92164E-04  1.26334E-04  8.70521E-05  2.22213E-04  9.13662E-05  2.21916E-04  8.61815E-05  2.22180E-04  5.29200E-04  1.33262E-03  1.19854E-04  9.03760E-05  1.30347E-04  9.02198E-05  1.14476E-04  8.97163E-05  1.29330E-04  9.01674E-05  1.20112E-04  9.03642E-05  1.22824E-03  9.01687E-04
  -29.6000  2.37577E-03  1.10518E-04  6.39791E-05  2.21035E-04  1.27958E-04  9.23529E-05  2.22891E-04  9.84998E-05  2.22640E-04  9.11751E-05  2.22850E-04  5.64056E-04  1.33676E-03  1.23221E-04  9.12816E-05  1.37423E-04  9.12298E-05  1.16403E-04  9.05719E-05  1.36079E-04  9.11675E-05  1.23585E-04  9.12725E-05  1.27342E-03  9.11047E-04
  -29.5000  2.39212E-03  1.33384E-04  6.49595E-05  2.66768E-04  1.29919E-04  1.00786E-04  2.23632E-04  1.09854E-04  2.23447E-04  9.91116E-05  2.23579E-04  6.19504E-04  1.34132E-03  1.27923E-04  9.22218E-05  1.47846E-04  9.23165E-05  1.18888E-04  9.14457E-05  1.45984E-04  9.22405E-05  1.28462E-04  9.22167E-05  1.33821E-03  9.20882E-04
  -29.4000  2.41051E-03  1.73078E-04  6.62316E-05  3.46156E-04  1.32463E-04  1.15334E-04  2.24480E-04  1.29486E-04  2.24399E-04  1.12779E-04  2.24408E-04  7.15198E-04  1.34657E-03  1.35196E-04  9.32155E-05  1.64631E-04  9.35265E-05  1.22476E-04  9.23459E-05  1.61878E-04  9.34303E-05  1.36053E-04  9.32167E-05  1.44047E-03  9.31470E-04
  -29.3000  2.43277E-03  2.51754E-04  6.80820E-05  5.03507E-04  1.36164E-04  1.43610E-04  2.25535E-04  1.67821E-04  2.25633E-04  1.39252E-04  2.25431E-04  9.01366E-04  1.35320E-03  1.48158E-04  9.43045E-05  1.95166E-04  9.49609E-05  1.28618E-04  9.32912E-05  1.90670E-04  9.48317E-05  1.49679E-04  9.43168E-05  1.62458E-03  9.43410E-04
  -29.2000  2.46411E-03  4.45687E-04  7.13577E-05  8.91374E-04  1.42715E-04  2.10531E-04  2.27083E-04  2.59471E-04  2.27540E-04  2.01507E-04  2.26912E-04  1.34302E-03  1.36307E-03  1.76787E-04  9.56038E-05  2.62218E-04  9.68882E-05  1.42367E-04  9.43376E-05  2.53498E-04  9.66949E-05  1.80092E-04  9.56405E-05  2.02993E-03  9.58330E-04
  -29.1000  2.52745E-03  1.18896E-03  8.00964E-05  2.37792E-03  1.60193E-04  4.45395E-04  2.30356E-04  5.90807E-04  2.31882E-04  4.17440E-04  2.29980E-04  2.90728E-03  1.38444E-03  2.70795E-04  9.75941E-05  4.72069E-04  1.00358E-04  1.93360E-04  9.57588E-05  4.48280E-04  9.99897E-05  2.81799E-04  9.77116E-05  3.33261E-03  9.82824E-04
