    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.32219E-04  1.02752E-03  3.77606E-05  2.05504E-03  7.55212E-05  1.18233E-04  4.34497E-06  1.18277E-04  4.34659E-06  1.18220E-04  4.34451E-06  7.09459E-04  2.60721E-05  2.33071E-05  8.56519E-07  2.33428E-05  8.57833E-07  2.32977E-05  8.56175E-07  2.33366E-05  8.57603E-07  2.33095E-05  8.56609E-07  2.33187E-04  8.56948E-06  4.28662E-05  1.57530E-06  4.28754E-05  1.57564E-06  4.28701E-05  1.57545E-06  4.28652E-05  1.57527E-06  4.28689E-05  1.57540E-06  4.28778E-05  1.57573E-06  4.28606E-05  1.57510E-06  6.00169E-04  2.20558E-05
  -49.5000  2.56378E-04  8.91757E-04  7.05320E-05  1.78351E-03  1.41064E-04  1.23951E-04  8.90009E-06  1.23999E-04  8.90347E-06  1.23938E-04  8.89915E-06  7.43776E-04  5.34054E-05  2.36316E-05  1.72496E-06  2.36684E-05  1.72763E-06  2.36219E-05  1.72426E-06  2.36622E-05  1.72717E-06  2.36340E-05  1.72514E-06  2.36436E-04  1.72584E-05  4.39122E-05  3.18905E-06  4.39217E-05  3.18974E-06  4.39162E-05  3.18934E-06  4.39112E-05  3.18897E-06  4.39150E-05  3.18925E-06  4.39240E-05  3.18991E-06  4.39065E-05  3.18863E-06  6.14814E-04  4.46498E-05
  -49.0000  3.74482E-04  7.81566E-04  9.92541E-05  1.56313E-03  1.98508E-04  1.30122E-04  1.36820E-05  1.30174E-04  1.36873E-05  1.30108E-04  1.36805E-05  7.80807E-04  8.20995E-05  2.39665E-05  2.60572E-06  2.40046E-05  2.60978E-06  2.39565E-05  2.60465E-06  2.39984E-05  2.60910E-06  2.39690E-05  2.60599E-06  2.39790E-04  2.60705E-05  4.50008E-05  4.84280E-06  4.50107E-05  4.84385E-06  4.50049E-05  4.84324E-06  4.49998E-05  4.84268E-06  4.50038E-05  4.84311E-06  4.50130E-05  4.84411E-06  4.49950E-05  4.84217E-06  6.30056E-04  6.78039E-05
  -48.5000  4.88108E-04  6.90968E-04  1.24647E-04  1.38194E-03  2.49293E-04  1.36788E-04  1.87088E-05  1.36844E-04  1.87162E-05  1.36773E-04  1.87068E-05  8.20810E-04  1.12264E-04  2.43118E-05  3.49916E-06  2.43512E-05  3.50467E-06  2.43013E-05  3.49770E-06  2.43450E-05  3.50376E-06  2.43143E-05  3.49952E-06  2.43247E-04  3.50096E-05  4.61337E-05  6.53818E-06  4.61439E-05  6.53961E-06  4.61379E-05  6.53878E-06  4.61326E-05  6.53803E-06  4.61368E-05  6.53861E-06  4.61462E-05  6.53995E-06  4.61277E-05  6.53733E-06  6.45918E-04  9.15409E-05
  -48.0000  5.98525E-04  6.15594E-04  1.47269E-04  1.23119E-03  2.94539E-04  1.44006E-04  2.40010E-05  1.44069E-04  2.40106E-05  1.43991E-04  2.39984E-05  8.64132E-04  1.44020E-04  2.46688E-05  4.40572E-06  2.47097E-05  4.41274E-06  2.46579E-05  4.40387E-06  2.47035E-05  4.41160E-06  2.46713E-05  4.40618E-06  2.46823E-04  4.40802E-05  4.73151E-05  8.27698E-06  4.73257E-05  8.27879E-06  4.73195E-05  8.27773E-06  4.73140E-05  8.27679E-06  4.73184E-05  8.27753E-06  4.73280E-05  8.27922E-06  4.73090E-05  8.27590E-06  6.62459E-04  1.15886E-04
  -47.5000  7.06779E-04  5.52225E-04  1.67563E-04  1.10445E-03  3.35126E-04  1.51837E-04  2.95809E-05  1.51905E-04  2.95930E-05  1.51820E-04  2.95777E-05  9.11125E-04  1.77503E-04  2.50365E-05  5.32580E-06  2.50791E-05  5.33438E-06  2.50252E-05  5.32352E-06  2.50728E-05  5.33301E-06  2.50391E-05  5.32635E-06  2.50505E-04  5.32861E-05  4.85452E-05  1.00610E-05  4.85562E-05  1.00632E-05  4.85497E-05  1.00619E-05  4.85441E-05  1.00607E-05  4.85486E-05  1.00617E-05  4.85585E-05  1.00637E-05  4.85388E-05  1.00597E-05  6.79682E-04  1.40864E-04
  -47.0000  8.13760E-04  4.98426E-04  1.85880E-04  9.96853E-04  3.71760E-04  1.60358E-04  3.54739E-05  1.60433E-04  3.54889E-05  1.60340E-04  3.54701E-05  9.62264E-04  2.12866E-04  2.54163E-05  6.25983E-06  2.54607E-05  6.27004E-06  2.54044E-05  6.25712E-06  2.54543E-05  6.26843E-06  2.54189E-05  6.26047E-06  2.54309E-04  6.26318E-05  4.98285E-05  1.18921E-05  4.98400E-05  1.18948E-05  4.98332E-05  1.18932E-05  4.98274E-05  1.18919E-05  4.98321E-05  1.18930E-05  4.98423E-05  1.18954E-05  4.98219E-05  1.18906E-05  6.97651E-04  1.66502E-04
  -46.5000  9.20240E-04  4.52379E-04  2.02505E-04  9.04758E-04  4.05009E-04  1.69654E-04  4.17086E-05  1.69737E-04  4.17266E-05  1.69634E-04  4.17040E-05  1.01805E-03  2.50278E-04  2.58091E-05  7.20829E-06  2.58555E-05  7.22021E-06  2.57967E-05  7.20513E-06  2.58490E-05  7.21837E-06  2.58118E-05  7.20904E-06  2.58244E-04  7.21221E-05  5.11689E-05  1.37726E-05  5.11808E-05  1.37756E-05  5.11738E-05  1.37738E-05  5.11677E-05  1.37722E-05  5.11727E-05  1.37735E-05  5.11832E-05  1.37763E-05  5.11621E-05  1.37708E-05  7.16418E-04  1.92830E-04
  -46.0000  1.02691E-03  4.12678E-04  2.17670E-04  8.25357E-04  4.35341E-04  1.79817E-04  4.83167E-05  1.79909E-04  4.83381E-05  1.79795E-04  4.83114E-05  1.07904E-03  2.89932E-04  2.62143E-05  8.17165E-06  2.62629E-05  8.18536E-06  2.62013E-05  8.16801E-06  2.62562E-05  8.18326E-06  2.62171E-05  8.17250E-06  2.62303E-04  8.17616E-05  5.25680E-05  1.57044E-05  5.25804E-05  1.57079E-05  5.25731E-05  1.57059E-05  5.25668E-05  1.57040E-05  5.25720E-05  1.57055E-05  5.25828E-05  1.57087E-05  5.25610E-05  1.57023E-05  7.36008E-04  2.19878E-04
  -45.5000  1.13442E-03  3.78224E-04  2.31570E-04  7.56449E-04  4.63140E-04  1.90958E-04  5.53343E-05  1.91061E-04  5.53594E-05  1.90935E-04  5.53281E-05  1.14591E-03  3.32044E-04  2.66331E-05  9.15040E-06  2.66841E-05  9.16598E-06  2.66195E-05  9.14626E-06  2.66772E-05  9.16363E-06  2.66360E-05  9.15136E-06  2.66500E-04  9.15553E-05  5.40307E-05  1.76900E-05  5.40437E-05  1.76940E-05  5.40360E-05  1.76917E-05  5.40295E-05  1.76896E-05  5.40349E-05  1.76912E-05  5.40461E-05  1.76949E-05  5.40234E-05  1.76877E-05  7.56488E-04  2.47678E-04
