    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.32215E-04  1.02535E-03  3.76809E-05  2.05070E-03  7.53618E-05  1.18554E-04  4.35679E-06  1.18600E-04  4.35848E-06  1.18533E-04  4.35602E-06  7.11376E-04  2.61426E-05  2.34018E-05  8.59999E-07  2.34436E-05  8.61538E-07  2.33923E-05  8.59650E-07  2.34323E-05  8.61123E-07  2.34057E-05  8.60145E-07  2.34152E-04  8.60491E-06  4.29637E-05  1.57889E-06  4.29729E-05  1.57922E-06  4.29685E-05  1.57906E-06  4.29626E-05  1.57885E-06  4.29661E-05  1.57898E-06  4.29769E-05  1.57937E-06  4.29578E-05  1.57867E-06  6.01537E-04  2.21061E-05
  -49.5000  2.56413E-04  8.90082E-04  7.03908E-05  1.78016E-03  1.40782E-04  1.24290E-04  8.92436E-06  1.24340E-04  8.92790E-06  1.24268E-04  8.92280E-06  7.45797E-04  5.35501E-05  2.37281E-05  1.73199E-06  2.37712E-05  1.73511E-06  2.37181E-05  1.73128E-06  2.37602E-05  1.73429E-06  2.37320E-05  1.73228E-06  2.37419E-04  1.73299E-05  4.40119E-05  3.19629E-06  4.40216E-05  3.19699E-06  4.40169E-05  3.19665E-06  4.40109E-05  3.19622E-06  4.40146E-05  3.19648E-06  4.40255E-05  3.19728E-06  4.40059E-05  3.19585E-06  6.16214E-04  4.47515E-05
  -49.0000  3.74590E-04  7.80260E-04  9.90649E-05  1.56052E-03  1.98130E-04  1.30480E-04  1.37194E-05  1.30536E-04  1.37250E-05  1.30458E-04  1.37170E-05  7.82947E-04  8.23229E-05  2.40654E-05  2.61638E-06  2.41100E-05  2.62114E-06  2.40549E-05  2.61528E-06  2.40991E-05  2.61992E-06  2.40693E-05  2.61681E-06  2.40797E-04  2.61790E-05  4.51037E-05  4.85383E-06  4.51138E-05  4.85489E-06  4.51088E-05  4.85437E-06  4.51026E-05  4.85371E-06  4.51065E-05  4.85411E-06  4.51176E-05  4.85532E-06  4.50974E-05  4.85316E-06  6.31501E-04  6.79588E-05
  -48.5000  4.88317E-04  6.89942E-04  1.24420E-04  1.37988E-03  2.48840E-04  1.37168E-04  1.87602E-05  1.37228E-04  1.87680E-05  1.37144E-04  1.87570E-05  8.23079E-04  1.12570E-04  2.44129E-05  3.51353E-06  2.44591E-05  3.52000E-06  2.44019E-05  3.51203E-06  2.44483E-05  3.51838E-06  2.44168E-05  3.51411E-06  2.44278E-04  3.51561E-05  4.62396E-05  6.55310E-06  4.62502E-05  6.55455E-06  4.62448E-05  6.55383E-06  4.62385E-05  6.55294E-06  4.62426E-05  6.55350E-06  4.62539E-05  6.55512E-06  4.62331E-05  6.55219E-06  6.47405E-04  9.17505E-05
  -48.0000  5.98857E-04  6.14787E-04  1.47013E-04  1.22957E-03  2.94026E-04  1.44408E-04  2.40671E-05  1.44474E-04  2.40774E-05  1.44382E-04  2.40629E-05  8.66528E-04  1.44415E-04  2.47715E-05  4.42387E-06  2.48195E-05  4.43210E-06  2.47600E-05  4.42195E-06  2.48087E-05  4.43008E-06  2.47754E-05  4.42459E-06  2.47870E-04  4.42652E-05  4.74229E-05  8.29586E-06  4.74340E-05  8.29772E-06  4.74282E-05  8.29679E-06  4.74217E-05  8.29566E-06  4.74261E-05  8.29637E-06  4.74376E-05  8.29842E-06  4.74162E-05  8.29470E-06  6.63973E-04  1.16151E-04
  -47.5000  7.07254E-04  5.51587E-04  1.67283E-04  1.10317E-03  3.34566E-04  1.52262E-04  2.96627E-05  1.52336E-04  2.96756E-05  1.52235E-04  2.96575E-05  9.13666E-04  1.77991E-04  2.51410E-05  5.34778E-06  2.51910E-05  5.35785E-06  2.51289E-05  5.34542E-06  2.51801E-05  5.35543E-06  2.51449E-05  5.34865E-06  2.51572E-04  5.35102E-05  4.86554E-05  1.00839E-05  4.86670E-05  1.00862E-05  4.86609E-05  1.00850E-05  4.86542E-05  1.00837E-05  4.86588E-05  1.00846E-05  4.86706E-05  1.00870E-05  4.86485E-05  1.00825E-05  6.81231E-04  1.41186E-04
  -47.0000  8.14396E-04  4.97923E-04  1.85582E-04  9.95845E-04  3.71163E-04  1.60812E-04  3.55724E-05  1.60893E-04  3.55883E-05  1.60783E-04  3.55661E-05  9.64977E-04  2.13454E-04  2.55233E-05  6.28575E-06  2.55754E-05  6.29773E-06  2.55106E-05  6.28291E-06  2.55645E-05  6.29491E-06  2.55273E-05  6.28676E-06  2.55402E-04  6.28961E-05  4.99422E-05  1.19192E-05  4.99544E-05  1.19220E-05  4.99479E-05  1.19206E-05  4.99410E-05  1.19190E-05  4.99458E-05  1.19200E-05  4.99580E-05  1.19230E-05  4.99350E-05  1.19176E-05  6.99249E-04  1.66883E-04
  -46.5000  9.21054E-04  4.51984E-04  2.02192E-04  9.03967E-04  4.04383E-04  1.70138E-04  4.18248E-05  1.70228E-04  4.18441E-05  1.70107E-04  4.18174E-05  1.02094E-03  2.50973E-04  2.59184E-05  7.23823E-06  2.59728E-05  7.25221E-06  2.59050E-05  7.23491E-06  2.59618E-05  7.24899E-06  2.59224E-05  7.23939E-06  2.59361E-04  7.24274E-05  5.12856E-05  1.38040E-05  5.12984E-05  1.38072E-05  5.12916E-05  1.38055E-05  5.12844E-05  1.38036E-05  5.12895E-05  1.38049E-05  5.13020E-05  1.38083E-05  5.12782E-05  1.38020E-05  7.18060E-04  1.93271E-04
  -46.0000  1.02792E-03  4.12371E-04  2.17346E-04  8.24742E-04  4.34692E-04  1.80334E-04  4.84520E-05  1.80434E-04  4.84749E-05  1.80300E-04  4.84433E-05  1.08213E-03  2.90740E-04  2.63257E-05  8.20568E-06  2.63827E-05  8.22176E-06  2.63117E-05  8.20184E-06  2.63714E-05  8.21812E-06  2.63298E-05  8.20699E-06  2.63443E-04  8.21088E-05  5.26877E-05  1.57402E-05  5.27011E-05  1.57439E-05  5.26939E-05  1.57420E-05  5.26864E-05  1.57398E-05  5.26918E-05  1.57413E-05  5.27047E-05  1.57451E-05  5.26800E-05  1.57380E-05  7.37691E-04  2.20381E-04
  -45.5000  1.13564E-03  3.77991E-04  2.31237E-04  7.55981E-04  4.62474E-04  1.91512E-04  5.54899E-05  1.91623E-04  5.55169E-05  1.91475E-04  5.54799E-05  1.14922E-03  3.32973E-04  2.67466E-05  9.18860E-06  2.68063E-05  9.20687E-06  2.67319E-05  9.18422E-06  2.67949E-05  9.20281E-06  2.67509E-05  9.19007E-06  2.67661E-04  9.19451E-05  5.41532E-05  1.77303E-05  5.41672E-05  1.77345E-05  5.41597E-05  1.77323E-05  5.41519E-05  1.77299E-05  5.41575E-05  1.77315E-05  5.41709E-05  1.77359E-05  5.41452E-05  1.77278E-05  7.58211E-04  2.48244E-04
