    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -43.0000  1.02340E-03  3.64488E-05  1.98852E-05  7.28977E-05  3.97703E-05  1.49787E-04  1.28823E-04  1.49590E-04  1.28818E-04  1.49792E-04  1.28821E-04  8.98337E-04  7.72922E-04  4.52228E-05  2.11317E-05  4.49327E-05  2.10119E-05  4.50767E-05  2.10729E-05  4.49335E-05  2.10123E-05  4.52117E-05  2.11270E-05  4.50755E-04  2.10712E-04
  -42.5000  1.07460E-03  3.66294E-05  2.12313E-05  7.32587E-05  4.24625E-05  1.42925E-04  1.34075E-04  1.42706E-04  1.34062E-04  1.42931E-04  1.34073E-04  8.57123E-04  8.04421E-04  4.64359E-05  2.28382E-05  4.61322E-05  2.27072E-05  4.62819E-05  2.27737E-05  4.61329E-05  2.27077E-05  4.64243E-05  2.28331E-05  4.62814E-04  2.27720E-04
  -42.0000  1.12489E-03  3.68360E-05  2.25850E-05  7.36720E-05  4.51699E-05  1.36612E-04  1.39096E-04  1.36373E-04  1.39074E-04  1.36619E-04  1.39094E-04  8.19207E-04  8.34526E-04  4.77031E-05  2.45913E-05  4.73850E-05  2.44486E-05  4.75406E-05  2.45208E-05  4.73857E-05  2.44491E-05  4.76910E-05  2.45857E-05  4.75411E-04  2.45191E-04
  -41.5000  1.17439E-03  3.70696E-05  2.39472E-05  7.41392E-05  4.78945E-05  1.30796E-04  1.43902E-04  1.30536E-04  1.43871E-04  1.30804E-04  1.43901E-04  7.84273E-04  8.63348E-04  4.90277E-05  2.63930E-05  4.86943E-05  2.62381E-05  4.88559E-05  2.63162E-05  4.86949E-05  2.62386E-05  4.90150E-05  2.63870E-05  4.88576E-04  2.63146E-04
  -41.0000  1.22323E-03  3.73310E-05  2.53191E-05  7.46620E-05  5.06383E-05  1.25431E-04  1.48512E-04  1.25150E-04  1.48470E-04  1.25440E-04  1.48511E-04  7.52042E-04  8.90985E-04  5.04128E-05  2.82456E-05  5.00634E-05  2.80779E-05  5.02311E-05  2.81622E-05  5.00639E-05  2.80784E-05  5.03996E-05  2.82391E-05  5.02342E-04  2.81606E-04
  -40.5000  1.27153E-03  3.76215E-05  2.67017E-05  7.52429E-05  5.34034E-05  1.20475E-04  1.52939E-04  1.20171E-04  1.52886E-04  1.20484E-04  1.52938E-04  7.22260E-04  9.17527E-04  5.18629E-05  3.01516E-05  5.14965E-05  2.99703E-05  5.16704E-05  3.00610E-05  5.14968E-05  2.99708E-05  5.18491E-05  3.01445E-05  5.16751E-04  3.00597E-04
  -40.0000  1.31939E-03  3.79424E-05  2.80961E-05  7.58848E-05  5.61921E-05  1.15890E-04  1.57198E-04  1.15565E-04  1.57133E-04  1.15900E-04  1.57198E-04  6.94709E-04  9.43057E-04  5.33825E-05  3.21133E-05  5.29982E-05  3.19180E-05  5.31784E-05  3.20153E-05  5.29984E-05  3.19185E-05  5.33681E-05  3.21058E-05  5.31851E-04  3.20142E-04
  -39.5000  1.36693E-03  3.82951E-05  2.95034E-05  7.65903E-05  5.90068E-05  1.11646E-04  1.61301E-04  1.11298E-04  1.61223E-04  1.11656E-04  1.61301E-04  6.69200E-04  9.67650E-04  5.49759E-05  3.41337E-05  5.45726E-05  3.39235E-05  5.47590E-05  3.40276E-05  5.45726E-05  3.39240E-05  5.49608E-05  3.41255E-05  5.47682E-04  3.40269E-04
  -39.0000  1.41423E-03  3.86811E-05  3.09249E-05  7.73623E-05  6.18498E-05  1.07714E-04  1.65260E-04  1.07343E-04  1.65168E-04  1.07725E-04  1.65260E-04  6.45566E-04  9.91374E-04  5.66473E-05  3.62154E-05  5.62242E-05  3.59897E-05  5.64165E-05  3.61009E-05  5.62239E-05  3.59902E-05  5.66316E-05  3.62067E-05  5.64287E-04  3.61006E-04
  -38.5000  1.46140E-03  3.91026E-05  3.23619E-05  7.82052E-05  6.47238E-05  1.04070E-04  1.69084E-04  1.03675E-04  1.68978E-04  1.04081E-04  1.69085E-04  6.23652E-04  1.01429E-03  5.84031E-05  3.83617E-05  5.79592E-05  3.81197E-05  5.81571E-05  3.82381E-05  5.79585E-05  3.81201E-05  5.83866E-05  3.83524E-05  5.81729E-04  3.82384E-04
