    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -50.0000  9.50937E-05  3.65096E-05  1.34170E-06  7.30192E-05  2.68341E-06  3.64766E-04  1.34049E-05  3.65040E-04  1.34150E-05  3.64795E-04  1.34060E-05  2.18920E-03  8.04517E-05  3.26143E-05  1.19855E-06  3.24618E-05  1.19295E-06  3.25438E-05  1.19596E-06  3.24601E-05  1.19289E-06  3.26250E-05  1.19895E-06  3.25410E-04  1.19586E-05
  -49.5000  1.84062E-04  3.63715E-05  2.67833E-06  7.27431E-05  5.35667E-06  3.35884E-04  2.57484E-05  3.36096E-04  2.57663E-05  3.35907E-04  2.57503E-05  2.01578E-03  1.54530E-04  3.33193E-05  2.42302E-06  3.31602E-05  2.41156E-06  3.32460E-05  2.41773E-06  3.31585E-05  2.41144E-06  3.33304E-05  2.42382E-06  3.32429E-04  2.41751E-05
  -49.0000  2.67674E-04  3.62558E-05  4.01071E-06  7.25117E-05  8.02142E-06  3.10441E-04  3.71569E-05  3.10600E-04  3.71806E-05  3.10460E-04  3.71595E-05  1.86300E-03  2.22994E-04  3.40497E-05  3.67432E-06  3.38837E-05  3.65677E-06  3.39734E-05  3.66623E-06  3.38819E-05  3.65657E-06  3.40612E-05  3.67554E-06  3.39700E-04  3.66589E-05
  -48.5000  3.46589E-04  3.61625E-05  5.33966E-06  7.23250E-05  1.06793E-05  2.87925E-04  4.77379E-05  2.88036E-04  4.77658E-05  2.87940E-04  4.77411E-05  1.72780E-03  2.86490E-04  3.48068E-05  4.95345E-06  3.46338E-05  4.92954E-06  3.47273E-05  4.94243E-06  3.46319E-05  4.92927E-06  3.48187E-05  4.95511E-06  3.47237E-04  4.94196E-05
  -48.0000  4.21365E-04  3.60913E-05  6.66599E-06  7.21826E-05  1.33320E-05  2.67897E-04  5.75830E-05  2.67967E-04  5.76134E-05  2.67909E-04  5.75866E-05  1.60755E-03  3.45566E-04  3.55919E-05  6.26142E-06  3.54114E-05  6.23088E-06  3.55088E-05  6.24736E-06  3.54094E-05  6.23054E-06  3.56042E-05  6.26354E-06  3.55051E-04  6.24675E-05
  -47.5000  4.92490E-04  3.60424E-05  7.99053E-06  7.20849E-05  1.59811E-05  2.50011E-04  6.67707E-05  2.50043E-04  6.68023E-05  2.50020E-04  6.67746E-05  1.50015E-03  4.00695E-04  3.64070E-05  7.59936E-06  3.62188E-05  7.56190E-06  3.63202E-05  7.58210E-06  3.62167E-05  7.56148E-06  3.64198E-05  7.60194E-06  3.63165E-04  7.58135E-05
  -47.0000  5.60383E-04  3.60158E-05  9.31408E-06  7.20315E-05  1.86282E-05  2.33975E-04  7.53692E-05  2.33973E-04  7.54006E-05  2.33981E-04  7.53733E-05  1.40386E-03  4.52286E-04  3.72533E-05  8.96839E-06  3.70570E-05  8.92372E-06  3.71626E-05  8.94780E-06  3.70548E-05  8.92322E-06  3.72666E-05  8.97146E-06  3.71589E-04  8.94692E-05
  -46.5000  6.25414E-04  3.60113E-05  1.06375E-05  7.20227E-05  2.12749E-05  2.19547E-04  8.34374E-05  2.19513E-04  8.34676E-05  2.19550E-04  8.34416E-05  1.31722E-03  5.00693E-04  3.81323E-05  1.03697E-05  3.79275E-05  1.03175E-05  3.80374E-05  1.03456E-05  3.79252E-05  1.03169E-05  3.81462E-05  1.03733E-05  3.80337E-04  1.03446E-04
  -46.0000  6.87907E-04  3.60295E-05  1.19615E-05  7.20590E-05  2.39231E-05  2.06526E-04  9.10270E-05  2.06463E-04  9.10550E-05  2.06527E-04  9.10313E-05  1.23903E-03  5.46227E-04  3.90461E-05  1.18046E-05  3.88322E-05  1.17446E-05  3.89466E-05  1.17769E-05  3.88299E-05  1.17439E-05  3.90605E-05  1.18088E-05  3.89430E-04  1.17758E-04
  -45.5000  7.48149E-04  3.60704E-05  1.32871E-05  7.21407E-05  2.65742E-05  1.94737E-04  9.81835E-05  1.94646E-04  9.82081E-05  1.94736E-04  9.81877E-05  1.16824E-03  5.89158E-04  3.99960E-05  1.32745E-05  3.97727E-05  1.32062E-05  3.98916E-05  1.32429E-05  3.97702E-05  1.32054E-05  4.00110E-05  1.32791E-05  3.98883E-04  1.32416E-04
  -45.0000  8.06394E-04  3.61342E-05  1.46150E-05  7.22685E-05  2.92300E-05  1.84032E-04  1.04947E-04  1.83915E-04  1.04967E-04  1.84028E-04  1.04951E-04  1.10395E-03  6.29728E-04  4.09847E-05  1.47806E-05  4.07514E-05  1.47038E-05  4.08751E-05  1.47450E-05  4.07488E-05  1.47029E-05  4.10002E-05  1.47859E-05  4.08720E-04  1.47436E-04
  -44.5000  8.62871E-04  3.62215E-05  1.59461E-05  7.24429E-05  3.18922E-05  1.74285E-04  1.11351E-04  1.74143E-04  1.11366E-04  1.74280E-04  1.11355E-04  1.04541E-03  6.68146E-04  4.20141E-05  1.63246E-05  4.17703E-05  1.62388E-05  4.18990E-05  1.62848E-05  4.17676E-05  1.62379E-05  4.20303E-05  1.63304E-05  4.18963E-04  1.62833E-04
  -44.0000  9.17786E-04  3.63325E-05  1.72813E-05  7.26650E-05  3.45626E-05  1.65389E-04  1.17429E-04  1.65224E-04  1.17438E-04  1.65383E-04  1.17433E-04  9.91992E-04  7.04601E-04  4.30867E-05  1.79080E-05  4.28317E-05  1.78129E-05  4.29656E-05  1.78637E-05  4.28290E-05  1.78118E-05  4.31036E-05  1.79145E-05  4.29633E-04  1.78622E-04
