    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -43.0000  1.29317E-12  7.61238E-13  1.56452E-13  1.52248E-12  3.12904E-13  4.76908E-13  1.09149E-13  3.48259E-13  7.55104E-14  4.79056E-13  1.09986E-13  2.60844E-12  5.89290E-13  1.54568E-13  3.40096E-14  2.98215E-13  5.97747E-14  5.69507E-14  1.29444E-14  2.82016E-13  5.62556E-14  1.49705E-13  3.25028E-14  1.88291E-12  3.90974E-13
  -42.5000  1.56617E-12  9.48837E-13  1.91321E-13  1.89767E-12  3.82642E-13  5.82991E-13  1.30573E-13  4.29522E-13  9.12951E-14  5.85094E-13  1.31488E-13  3.19522E-12  7.06712E-13  1.89669E-13  4.09798E-14  3.72351E-13  7.34584E-14  6.92473E-14  1.54892E-14  3.52432E-13  6.92073E-14  1.84261E-13  3.92743E-14  2.33592E-12  4.76818E-13
  -42.0000  1.90620E-12  1.19227E-12  2.35136E-13  2.38453E-12  4.70272E-13  7.18948E-13  1.56994E-13  5.34094E-13  1.10923E-13  7.20887E-13  1.57980E-13  3.94786E-12  8.51793E-13  2.34659E-13  4.96033E-14  4.68329E-13  9.06691E-14  8.48653E-14  1.86080E-14  4.43641E-13  8.55108E-14  2.28648E-13  4.76769E-14  2.92028E-12  5.84136E-13
  -41.5000  2.33323E-12  1.51039E-12  2.90642E-13  3.02078E-12  5.81283E-13  8.94401E-13  1.89863E-13  6.69580E-13  1.35529E-13  8.95993E-13  1.90907E-13  4.91995E-12  1.03260E-12  2.92725E-13  6.03608E-14  5.93426E-13  1.12477E-13  1.04834E-13  2.24605E-14  5.62585E-13  1.06185E-13  2.86060E-13  5.81894E-14  3.67926E-12  7.19347E-13
  -41.0000  2.87400E-12  1.92923E-12  3.61540E-13  3.85846E-12  7.23079E-13  1.12250E-12  2.31114E-13  8.46355E-13  1.66632E-13  1.12347E-12  2.32194E-13  6.18465E-12  1.25988E-12  3.68234E-13  7.38931E-14  7.57610E-13  1.40319E-13  1.30556E-13  2.72584E-14  7.18774E-13  1.32600E-13  3.60874E-13  7.14513E-14  4.67210E-12  8.91043E-13
  -40.5000  3.56464E-12  2.48499E-12  4.52861E-13  4.96997E-12  9.05723E-13  1.42135E-12  2.83347E-13  1.07871E-12  2.06274E-13  1.42126E-12  2.84424E-13  7.84265E-12  1.54809E-12  4.67197E-13  9.10623E-14  9.74679E-13  1.76138E-13  1.63940E-13  3.32831E-14  9.25376E-13  1.66607E-13  4.59124E-13  8.83238E-14  5.98063E-12  1.11083E-12
  -40.0000  4.45435E-12  3.22851E-12  5.71507E-13  6.45702E-12  1.14301E-12  1.81610E-12  3.50088E-13  1.38657E-12  2.57230E-13  1.81434E-12  3.51100E-13  1.00340E-11  1.91683E-12  5.97972E-13  1.13037E-13  1.26393E-12  2.22586E-13  2.07615E-13  4.09128E-14  1.20081E-12  2.10736E-13  5.89212E-13  1.09977E-13  7.71908E-12  1.39450E-12
  -39.5000  5.61078E-12  4.23205E-12  7.27032E-13  8.46410E-12  1.45406E-12  2.34219E-12  4.36162E-13  1.79789E-12  3.23301E-13  2.33779E-12  4.37012E-13  1.29558E-11  2.39295E-12  7.72341E-13  1.41420E-13  1.65255E-12  2.83316E-13  2.65264E-13  5.06611E-14  1.57106E-12  2.68471E-13  7.62988E-13  1.38016E-13  1.00484E-11  1.76377E-12
  -39.0000  7.12792E-12  5.59921E-12  9.32799E-13  1.11984E-11  1.86560E-12  3.04990E-12  5.48243E-13  2.35234E-12  4.09748E-13  3.04144E-12  5.48783E-13  1.68874E-11  3.01355E-12  1.00704E-12  1.78428E-13  2.17928E-12  3.63403E-13  3.42064E-13  6.32317E-14  2.07312E-12  3.44657E-13  9.97305E-13  1.74667E-13  1.31976E-11  2.24877E-12
  -38.5000  9.13759E-12  7.48009E-12  1.20769E-12  1.49602E-11  2.41537E-12  4.01130E-12  6.95656E-13  3.10683E-12  5.23922E-13  3.99664E-12  6.95657E-13  2.22296E-11  3.83047E-12  1.32608E-12  2.27161E-13  2.89991E-12  4.69973E-13  4.45362E-13  7.95984E-14  2.76034E-12  4.46097E-13  1.31637E-12  2.23042E-13  1.74961E-11  2.89174E-12
  -38.0000  1.18270E-11  1.00957E-11  1.57870E-12  2.01914E-11  3.15740E-12  5.33160E-12  8.91589E-13  4.14408E-12  6.76214E-13  5.30750E-12  8.90704E-13  2.95664E-11  4.91701E-12  1.76456E-12  2.92007E-13  3.89588E-12  6.13144E-13  5.85832E-13  1.01127E-13  3.71056E-12  5.82458E-13  1.75558E-12  2.87559E-13  2.34248E-11  3.75259E-12
  -37.5000  1.54651E-11  1.37744E-11  2.08490E-12  2.75489E-11  4.16980E-12  7.16551E-12  1.15492E-12  5.58562E-12  8.81482E-13  7.12692E-12  1.15261E-12  3.97561E-11  6.37802E-12  2.37412E-12  3.79254E-13  5.28726E-12  8.07447E-13  7.78996E-13  1.29755E-13  5.03868E-12  7.67626E-13  2.36712E-12  3.74549E-13  3.16923E-11  4.91726E-12
  -37.0000  2.04438E-11  1.90140E-11  2.78365E-12  3.80281E-11  5.56730E-12  9.74524E-12  1.51305E-12  7.61340E-12  1.16127E-12  9.68470E-12  1.50852E-12  5.40867E-11  8.36567E-12  3.23255E-12  4.98049E-13  7.25455E-12  1.07405E-12  1.04800E-12  1.68268E-13  6.91739E-12  1.02184E-12  3.22944E-12  4.93228E-13  4.33639E-11  6.51085E-12
  -36.5000  2.73433E-11  2.65804E-11  3.76047E-12  5.31609E-11  7.52093E-12  1.34251E-11  2.00641E-12  1.05035E-11  1.54726E-12  1.33310E-11  1.99842E-12  7.45191E-11  1.11042E-11  4.45873E-12  6.61904E-13  1.00727E-11  1.44421E-12  1.42793E-12  2.20744E-13  9.60992E-12  1.37499E-12  4.46266E-12  6.57228E-13  6.00638E-11  8.71816E-12
  -36.0000  3.70355E-11  3.76712E-11  5.14486E-12  7.53424E-11  1.02897E-11  1.87538E-11  2.69560E-12  1.46819E-11  2.08681E-12  1.86078E-11  2.68225E-12  1.04087E-10  1.49293E-11  6.23696E-12  8.91108E-13  1.41677E-11  1.96486E-12  1.97260E-12  2.93235E-13  1.35244E-11  1.87201E-12  6.25314E-12  8.87027E-13  8.43096E-11  1.18165E-11
  -35.5000  5.08575E-11  5.42059E-11  7.13689E-12  1.08412E-10  1.42738E-11  2.66035E-11  3.67326E-12  2.08223E-11  2.85202E-12  2.63761E-11  3.65155E-12  1.47604E-10  2.03537E-11  8.86090E-12  1.21674E-12  2.02155E-11  2.70777E-12  2.76682E-12  3.94914E-13  1.93086E-11  2.58158E-12  8.89799E-12  1.21402E-12  1.20100E-10  1.62301E-11
  -35.0000  7.09036E-11  7.93333E-11  1.00523E-11  1.58667E-10  2.01047E-11  3.83926E-11  5.08416E-12  3.00124E-11  3.95496E-12  3.80375E-11  5.04940E-12  2.12885E-10  2.81770E-11  1.28104E-11  1.68751E-12  2.93123E-11  3.78498E-12  3.94764E-12  5.39987E-13  2.80133E-11  3.61105E-12  1.28819E-11  1.68742E-12  1.73931E-10  2.26219E-11
  -34.5000  1.00538E-10  1.18367E-10  1.44022E-11  2.36734E-10  2.88045E-11  5.64980E-11  7.16043E-12  4.40604E-11  5.57414E-12  5.59368E-11  7.10504E-12  3.12990E-10  3.96792E-11  1.88907E-11  2.38173E-12  4.32869E-11  5.37574E-12  5.74231E-12  7.51013E-13  4.13928E-11  5.13221E-12  1.90196E-11  2.38638E-12  2.56665E-10  3.20542E-11
  -34.0000  1.45314E-10  1.80537E-10  2.10369E-11  3.61075E-10  4.20737E-11  8.50181E-11  1.02848E-11  6.60524E-11  8.00153E-12  8.41189E-11  1.01964E-11  4.70379E-10  5.69653E-11  2.84966E-11  3.42896E-12  6.52731E-11  7.77449E-12  8.53975E-12  1.06484E-12  6.24556E-11  7.42741E-12  2.87216E-11  3.44188E-12  3.86974E-10  4.62752E-11
  -33.5000  2.14742E-10  2.82618E-10  3.14229E-11  5.65236E-10  6.28458E-11  1.31360E-10  1.51122E-11  1.01503E-10  1.17317E-11  1.29891E-10  1.49698E-11  7.25508E-10  8.36273E-11  4.41606E-11  5.05184E-12  1.00892E-10  1.14822E-11  1.30350E-11  1.54387E-12  9.66005E-11  1.09774E-11  4.45458E-11  5.07891E-12  5.98468E-10  6.82684E-11
  -33.0000  3.25791E-10  4.56463E-10  4.81976E-11  9.12926E-10  9.63952E-11  2.09526E-10  2.28121E-11  1.60684E-10  1.76367E-11  2.07066E-10  2.25793E-11  1.15455E-09  1.26056E-10  7.06943E-11  7.64981E-12  1.60655E-10  1.73862E-11  2.05276E-11  2.29825E-12  1.53932E-10  1.66343E-11  7.13518E-11  7.70104E-12  9.54320E-10  1.03339E-10
  -32.5000  5.10350E-10  7.66148E-10  7.63530E-11  1.53230E-09  1.52706E-10  3.47600E-10  3.55862E-11  2.63822E-10  2.73320E-11  3.43359E-10  3.51975E-11  1.90956E-09  1.96231E-10  1.17813E-10  1.19794E-11  2.65343E-10  2.71373E-11  3.35899E-11  3.53265E-12  2.54445E-10  2.59850E-11  1.18939E-10  1.20720E-11  1.58026E-09  1.61413E-10
  -32.0000  8.32586E-10  1.35109E-09  1.26005E-10  2.70218E-09  2.52009E-10  6.06702E-10  5.78821E-11  4.53908E-10  4.40128E-11  5.99065E-10  5.72127E-11  3.31935E-09  3.18215E-10  2.06816E-10  1.95797E-11  4.59315E-10  4.40169E-11  5.77239E-11  5.65397E-12  4.40866E-10  4.21865E-11  2.08766E-10  1.97440E-11  2.74697E-09  2.62362E-10
  -31.5000  1.43392E-09  2.54661E-09  2.19591E-10  5.09323E-09  4.39182E-10  1.13439E-09  9.95700E-11  8.31508E-10  7.45702E-11  1.11982E-09  9.83655E-11  6.17144E-09  5.45011E-10  3.89617E-10  3.38979E-11  8.46810E-10  7.51366E-11  1.05925E-10  9.54663E-12  8.13775E-10  7.20922E-11  3.93052E-10  3.41883E-11  5.09836E-09  4.49723E-10
  -31.0000  2.66880E-09  5.28124E-09  4.13673E-10  1.05625E-08  8.27346E-10  2.34359E-09  1.85696E-10  1.66550E-09  1.35776E-10  2.31292E-09  1.83364E-10  1.26440E-08  1.00967E-09  8.13129E-10  6.37798E-11  1.70824E-09  1.37913E-10  2.13444E-10  1.73906E-11  1.64411E-09  1.32512E-10  8.19325E-10  6.42980E-11  1.03965E-08  8.31788E-10
  -30.5000  5.62385E-09  1.27530E-08  8.82338E-10  2.55060E-08  1.76468E-09  5.68661E-09  3.94675E-10  3.83795E-09  2.76818E-10  5.61113E-09  3.89569E-10  3.02714E-08  2.12212E-09  2.00213E-09  1.37357E-10  3.97186E-09  2.83876E-10  4.98603E-10  3.57139E-11  3.83134E-09  2.73311E-10  2.01278E-09  1.38266E-10  2.46334E-08  1.73705E-09
  -30.0000  1.12958E-08  4.10714E-08  1.78795E-09  8.21428E-08  3.57589E-09  1.88023E-08  8.09258E-10  1.14456E-08  5.29190E-10  1.85400E-08  7.98368E-10  9.75759E-08  4.27363E-09  6.76495E-09  2.86521E-10  1.20352E-08  5.49248E-10  1.53473E-09  6.95540E-11  1.16512E-08  5.30216E-10  6.77254E-09  2.87598E-10  7.75173E-08  3.44627E-09
  -29.9000  1.38366E-08  5.52352E-08  2.19392E-09  1.10470E-07  4.38783E-09  2.55608E-08  9.97126E-10  1.50318E-08  6.39671E-10  2.51944E-08  9.83543E-10  1.31574E-07  5.24068E-09  9.24380E-09  3.54462E-10  1.58963E-08  6.66084E-10  2.03902E-09  8.45406E-11  1.54041E-08  6.43434E-10  9.24316E-09  3.55534E-10  1.03653E-07  4.20811E-09
  -29.8000  1.73693E-08  7.68280E-08  2.75859E-09  1.53656E-07  5.51719E-09  3.60561E-08  1.26213E-09  2.03067E-08  7.88923E-10  3.55168E-08  1.24459E-09  1.83759E-07  6.59129E-09  1.31042E-08  4.50776E-10  2.16388E-08  8.25126E-10  2.79657E-09  1.05095E-10  2.09911E-08  7.97716E-10  1.30853E-08  4.51709E-10  1.43232E-07  5.26084E-09
  -29.7000  2.25063E-08  1.11726E-07  3.57976E-09  2.23452E-07  7.15952E-09  5.34077E-08  1.65467E-09  2.84491E-08  9.98020E-10  5.25544E-08  1.63085E-09  2.68823E-07  8.56710E-09  1.94901E-08  5.94025E-10  3.06436E-08  1.05035E-09  4.00006E-09  1.34495E-10  2.97595E-08  1.01644E-09  1.94303E-08  5.94519E-10  2.06647E-07  6.77967E-09
  -29.6000  3.04488E-08  1.72732E-07  4.84932E-09  3.45464E-07  9.69863E-09  8.45981E-08  2.27646E-09  4.18357E-08  1.30551E-09  8.30936E-08  2.24158E-09  4.19055E-07  1.16471E-08  3.09171E-08  8.21262E-10  4.57975E-08  1.38696E-09  6.06125E-09  1.79044E-10  4.45199E-08  1.34366E-09  3.07635E-08  8.20626E-10  3.16118E-07  9.10310E-09
  -29.5000  4.38834E-08  2.92329E-07  6.99790E-09  5.84658E-07  1.39958E-08  1.47843E-07  3.36308E-09  6.58850E-08  1.78975E-09  1.44722E-07  3.30527E-09  7.16899E-07  1.69162E-08  5.37487E-08  1.21631E-09  7.40438E-08  1.93117E-09  1.00047E-08  2.52577E-10  7.19991E-08  1.87284E-09  5.33560E-08  1.21279E-09  5.26304E-07  1.29714E-08
  -29.4000  7.01034E-08  5.73029E-07  1.12096E-08  1.14606E-06  2.24192E-08  3.01998E-07  5.58273E-09  1.15192E-07  2.63640E-09  2.93632E-07  5.46342E-09  1.42164E-06  2.73651E-08  1.07319E-07  2.00509E-09  1.35659E-07  2.92824E-09  1.89944E-08  3.92183E-10  1.31671E-07  2.84060E-09  1.06212E-07  1.99343E-09  9.99709E-07  2.03191E-08
  -29.3000  1.36495E-07  1.48380E-06  2.21153E-08  2.96759E-06  4.42306E-08  8.16482E-07  1.15838E-08  2.40984E-07  4.40760E-09  7.81687E-07  1.12087E-08  3.67831E-06  5.44002E-08  2.69258E-07  3.98409E-09  3.11843E-07  5.22025E-09  4.72139E-08  7.39199E-10  2.99835E-07  5.04435E-09  2.65403E-07  3.94410E-09  2.38710E-06  3.78640E-08
  -29.2000  4.46267E-07  7.80375E-06  7.94718E-08  1.56075E-05  1.58944E-07  4.15436E-06  4.21177E-08  7.38585E-07  9.83610E-09  3.79284E-06  3.90856E-08  1.73716E-05  1.82079E-07  1.03734E-06  1.16084E-08  1.19180E-06  1.39798E-08  2.37558E-07  2.48522E-09  1.10078E-06  1.31350E-08  1.01633E-06  1.14140E-08  9.16762E-06  1.05245E-07
