    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -43.0000  1.46426E-12  8.41380E-13  1.71567E-13  1.68276E-12  3.43134E-13  5.48252E-13  1.25479E-13  4.07934E-13  8.71512E-14  5.48252E-13  1.25479E-13  3.00888E-12  6.76219E-13  1.72272E-13  3.74542E-14  3.31019E-13  6.64425E-14  6.40413E-14  1.46577E-14  3.31019E-13  6.64425E-14  1.72272E-13  3.74542E-14  2.14124E-12  4.44902E-13
  -42.5000  1.77448E-12  1.04966E-12  2.10142E-13  2.09933E-12  4.20283E-13  6.69686E-13  1.50090E-13  5.04088E-13  1.05676E-13  6.69686E-13  1.50090E-13  3.68692E-12  8.11711E-13  2.11901E-13  4.52414E-14  4.13042E-13  8.16215E-14  7.77512E-14  1.75150E-14  4.13042E-13  8.16215E-14  2.11901E-13  4.52414E-14  2.65527E-12  5.42482E-13
  -42.0000  2.16086E-12  1.31994E-12  2.58649E-13  2.63989E-12  5.17297E-13  8.25123E-13  1.80412E-13  6.27903E-13  1.28751E-13  8.25123E-13  1.80412E-13  4.55630E-12  9.79152E-13  2.62762E-13  5.48977E-14  5.19149E-13  1.00700E-13  9.51417E-14  2.10114E-14  5.19149E-13  1.00700E-13  2.62762E-13  5.48977E-14  3.31793E-12  6.64413E-13
  -41.5000  2.64607E-12  1.67316E-12  3.20136E-13  3.34632E-12  6.40272E-13  1.02546E-12  2.18098E-13  7.88431E-13  1.57725E-13  1.02546E-12  2.18098E-13  5.67872E-12  1.18784E-12  3.28493E-13  6.69696E-14  6.57344E-13  1.24857E-13  1.17348E-13  2.53239E-14  6.57344E-13  1.24857E-13  3.28493E-13  6.69696E-14  4.17804E-12  8.17953E-13
  -41.0000  3.26041E-12  2.13818E-12  3.98713E-13  4.27636E-12  7.97426E-13  1.28558E-12  2.65342E-13  9.98015E-13  1.94402E-13  1.28558E-12  2.65342E-13  7.13835E-12  1.45017E-12  4.14070E-13  8.21864E-14  8.38578E-13  1.55674E-13  1.45911E-13  3.06860E-14  8.38578E-13  1.55674E-13  4.14070E-13  8.21864E-14  5.30241E-12  1.01281E-12
  -40.5000  4.04481E-12  2.75516E-12  4.99963E-13  5.51031E-12  9.99926E-13  1.62591E-12  3.25093E-13  1.27367E-12  2.41208E-13  1.62591E-12  3.25093E-13  9.05097E-12  1.78279E-12  5.26350E-13  1.01529E-13  1.07800E-12  1.95290E-13  1.82929E-13  3.74085E-14  1.07800E-12  1.95290E-13  5.26350E-13  1.01529E-13  6.78326E-12  1.26209E-12
  -40.0000  5.05496E-12  3.58048E-12  6.31543E-13  7.16096E-12  1.26309E-12  2.07484E-12  4.01342E-13  1.63911E-12  3.01445E-13  2.07484E-12  4.01342E-13  1.15776E-11  2.20826E-12  6.74874E-13  1.26331E-13  1.39678E-12  2.46621E-13  2.31287E-13  4.59081E-14  1.39678E-12  2.46621E-13  6.74874E-13  1.26331E-13  8.74920E-12  1.58362E-12
  -39.5000  6.36743E-12  4.69422E-12  8.04053E-13  9.38844E-12  1.60811E-12  2.67226E-12  4.99545E-13  2.12764E-12  3.79634E-13  2.67226E-12  4.99545E-13  1.49443E-11  2.75745E-12  8.73083E-13  1.58416E-13  1.82474E-12  3.13678E-13  2.95016E-13  5.67498E-14  1.82474E-12  3.13678E-13  8.73083E-13  1.58416E-13  1.13813E-11  2.00188E-12
  -39.0000  8.08845E-12  6.21115E-12  1.03231E-12  1.24223E-11  2.06462E-12  3.47473E-12  6.27239E-13  2.78651E-12  4.82036E-13  3.47473E-12  6.27239E-13  1.94719E-11  3.47303E-12  1.14007E-12  2.00313E-13  2.40432E-12  4.02036E-13  3.79778E-13  7.07063E-14  2.40432E-12  4.02036E-13  1.14007E-12  2.00313E-13  1.49371E-11  2.55081E-12
  -38.5000  1.03669E-11  8.29729E-12  1.33723E-12  1.65946E-11  2.67446E-12  4.56306E-12  7.94929E-13  3.68353E-12  6.17404E-13  4.56306E-12  7.94929E-13  2.56193E-11  4.41452E-12  1.50318E-12  2.55553E-13  3.19662E-12  5.19509E-13  4.93553E-13  8.88441E-14  3.19662E-12  5.19509E-13  1.50318E-12  2.55553E-13  1.97863E-11  3.27794E-12
