Energy Monitor Ho_a Ho_g2 Ho_g1 Ho_b1 bragg Ho_b2 fluotot
7.940000000000000000e+03 8.747530111525068060e+05 3.579298412333321480e-07 6.117359255676861782e-09 6.867253627031824167e-09 1.229746070224541335e-06 7.019267776984506213e+01 8.709102566047810314e-08 2.190957482303535538e-03
7.941000000000000000e+03 8.741617621772134444e+05 2.652146028626393126e-07 1.906444744928980163e-09 1.987123254917490081e-08 1.275273333277869824e-06 6.973802953990197295e+01 -1.905081135081549577e-07 2.218367428472161566e-03
7.942000000000000000e+03 8.724124945115810260e+05 3.149718659862367866e-07 2.486117888087124570e-08 1.918948828567820062e-08 1.256671602684737918e-06 6.921077554469719928e+01 9.103554336433551769e-08 2.184407433047546795e-03
7.943000000000000000e+03 8.691540112322311616e+05 4.160608968847602206e-07 6.177436776572534375e-09 6.177436774988063294e-09 1.186903310079139304e-06 6.999340548179243626e+01 6.454614335337176514e-07 2.232183649881969850e-03
7.944000000000000000e+03 8.725339052255029092e+05 5.509720476366666275e-07 1.617750345098063821e-08 -1.704711003090297588e-18 1.368690458948030856e-06 6.980510198041996262e+01 9.350030478144742547e-07 2.262117996997100883e-03
7.945000000000000000e+03 8.721302762383148074e+05 3.330427102021549015e-07 3.662764158425653649e-08 -1.833899772554529419e-18 1.442078715683166275e-06 6.971842489678219579e+01 -2.596628738132480618e-07 2.228042982719253152e-03
7.946000000000000000e+03 8.715690948364936048e+05 5.107867161028865860e-07 1.304090984171262401e-08 -1.972713374549616012e-18 1.282021279651690601e-06 6.963796670607247563e+01 -4.832889265213449180e-07 2.246938617907704144e-03
7.947000000000000000e+03 8.693107090172922472e+05 3.598605589265502366e-07 1.298160852002460597e-08 1.720047935630556962e-08 1.228749506146007936e-06 6.980594193911508683e+01 5.955891106461426220e-07 2.284038957937768125e-03
7.948000000000000000e+03 8.686754245879016817e+05 4.721183162698184287e-07 1.994812417001018067e-08 6.047363862788579206e-09 1.223247309010378037e-06 6.968276624744429171e+01 4.794662641486748673e-07 2.239794583040478557e-03
7.949000000000000000e+03 8.682098320541164139e+05 4.886673720197367051e-07 1.221359561057841036e-08 1.378437988431480093e-08 1.149898017316888260e-06 6.979973323030195331e+01 -2.094280761141827664e-07 2.261901038158006024e-03
7.950000000000000000e+03 8.706046989860087633e+05 3.924276476567714158e-07 6.972590995937889015e-09 1.209116253944089579e-08 1.345249730164790080e-06 6.971843118299965170e+01 -6.491040193408443933e-07 2.239949734335822378e-03
7.951000000000000000e+03 8.700435493298076326e+05 4.626009842925736991e-07 6.105915390537637498e-09 1.025584065996057209e-08 1.322196649513476496e-06 6.958309656149047839e+01 -1.038926981373259104e-07 2.247319091255880249e-03
7.952000000000000000e+03 8.690576867144644493e+05 4.969609865987433452e-07 2.233981116668584303e-08 1.782175130593668312e-09 1.196737875433705409e-06 6.966185214066700837e+01 -2.092917026466110255e-07 2.239109521233159043e-03
7.953000000000000000e+03 8.696474243791819317e+05 4.835261112507172694e-07 2.612040732429919226e-08 8.177985883941399456e-09 1.119534950953190504e-06 6.953557150595132441e+01 -1.353529197261398837e-07 2.242539889329841097e-03
7.954000000000000000e+03 8.718112520891387248e+05 5.631017365449315566e-07 8.671262090053706875e-09 6.737978356329430767e-09 1.073809366117561272e-06 6.955330570560320780e+01 2.868336670407687504e-07 2.309185556082055026e-03
7.955000000000000000e+03 8.747849391144500114e+05 4.714240946039550288e-07 1.389523417020857893e-08 1.455470243426129793e-08 1.108168141897980268e-06 6.968541025861871674e+01 8.065833189470131751e-08 2.258752873943536185e-03
7.956000000000000000e+03 8.752223817904024618e+05 4.910428104225542549e-07 -3.359415838312478084e-24 1.586051082533374806e-08 1.178940976658314471e-06 6.952143309793655135e+01 -3.542287287771715832e-07 2.251736979410952789e-03
7.957000000000000000e+03 8.774995987752014771e+05 6.044293529731535576e-07 6.702951737910580852e-09 7.905181120939845732e-09 1.310909605904834926e-06 6.930560911740049335e+01 1.873752777914564894e-07 2.251757774927330268e-03
7.958000000000000000e+03 8.756823869184389478e+05 6.542260409418637227e-07 5.801639534782266968e-09 -4.702783877066201682e-18 1.139087325728960050e-06 6.937926198179398796e+01 9.468723020657076217e-07 2.267437038228692966e-03
7.959000000000000000e+03 8.758794189241231652e+05 6.259863793346913607e-07 -9.514536390556287233e-24 6.658130475753204805e-09 1.045671819040336926e-06 6.935547969300117188e+01 4.091821041552913918e-07 2.294732229793570739e-03
7.960000000000000000e+03 8.752744779071388766e+05 5.937776706116712165e-07 1.333826828814653446e-08 5.743637934928427198e-09 1.088190594804721735e-06 6.928732168269119995e+01 2.215746188826850284e-07 2.285244382579072666e-03
7.961000000000000000e+03 8.759249128731837263e+05 6.206950068233810698e-07 1.148706612798009737e-08 2.468654078673946893e-09 9.967889614798579393e-07 6.928632653536392638e+01 3.360066975450385288e-07 2.309826938502500607e-03
7.962000000000000000e+03 8.754735061615426093e+05 6.198030981784216599e-07 9.232287325592278429e-09 2.091577608609897164e-08 1.121982862100641170e-06 6.933232740717043896e+01 5.949557091459493624e-07 2.324405061384078684e-03
7.963000000000000000e+03 8.738083170124851167e+05 5.846871064689552522e-07 2.365237479717442977e-08 2.487262138405879579e-08 1.188950887218468859e-06 6.919183929835344316e+01 -4.571852828661937502e-07 2.269594744904543642e-03
7.964000000000000000e+03 8.733373919386202469e+05 6.667742019414632773e-07 1.341471478087394784e-08 2.489238652687379573e-08 1.152273804890525775e-06 6.940452771456421033e+01 3.958138339729986343e-07 2.305982250077573490e-03
7.965000000000000000e+03 8.727603287848246982e+05 6.332705631162574785e-07 1.147598251477559711e-08 1.819193001725557246e-08 1.190450783452004260e-06 6.921255876128780926e+01 4.589891163295761046e-07 2.353546919414211628e-03
7.966000000000000000e+03 8.733862309200366726e+05 7.013707035962787914e-07 -1.959212121714418560e-24 1.239884906974454123e-08 1.131261066616942253e-06 6.926631639348578062e+01 1.174835493276799335e-08 2.305904602042875302e-03
7.967000000000000000e+03 8.726787861258656485e+05 6.949756972914071287e-07 -3.298568505966524323e-24 2.962457389142091985e-08 1.198258257019009022e-06 6.926138139959859075e+01 7.850060990786073278e-08 2.308322744942697177e-03
7.968000000000000000e+03 8.711437641287940787e+05 7.590240904753682208e-07 -4.024751016890967053e-24 1.146730846810684888e-08 1.112912113802692857e-06 6.942588040132457650e+01 -1.964212730548016752e-07 2.326526198542000750e-03
7.969000000000000000e+03 8.703217131524611032e+05 7.623270202876235508e-07 6.756116053224937341e-09 -1.031326748666509846e-17 1.065934175854504857e-06 6.946409648037594309e+01 3.037842660553934147e-07 2.356498711197789735e-03
7.970000000000000000e+03 8.689285964436907088e+05 8.286953305352779209e-07 1.926468599471209569e-08 -1.107062525387370518e-17 1.170759759391231504e-06 6.940994319474263818e+01 1.310140060916864259e-07 2.344422301442138697e-03
7.971000000000000000e+03 8.686510550244353944e+05 6.616721147277099474e-07 1.146172938514298595e-08 6.711241208443515222e-09 1.179050714308846644e-06 6.949182935101011083e+01 1.271208907026187947e-07 2.325519167581978092e-03
7.972000000000000000e+03 8.698239205069883028e+05 8.752005167920102901e-07 1.357519100286880841e-08 1.246213262885700492e-08 1.283206536714169525e-06 6.947675968390372248e+01 -1.669647801164784479e-07 2.318572058230097040e-03
7.973000000000000000e+03 8.670910789346817182e+05 9.521723402012436996e-07 1.145901558822756246e-08 1.252717914183471850e-08 1.139135644703525392e-06 6.941987560067866525e+01 -3.609726250539938790e-07 2.309363112789577632e-03
7.974000000000000000e+03 8.657025595447454834e+05 9.730288529453434985e-07 -4.762155887106235545e-24 1.934423471861417907e-08 1.155045265514669222e-06 6.977771659173473040e+01 -4.463841072919723890e-07 2.331245686706363666e-03
7.975000000000000000e+03 8.661883953136298805e+05 9.092324141956053895e-07 -2.478099615534800069e-24 3.190536736728406194e-08 1.141836380006886864e-06 6.960362422616829292e+01 -2.421810544137991269e-07 2.350052070099568988e-03
7.976000000000000000e+03 8.635875567077441374e+05 1.053087968171668064e-06 1.049071514838072162e-08 2.400222508661781522e-08 1.137842845104670429e-06 6.980448134790023573e+01 -3.659050406427465793e-07 2.313365094560271892e-03
7.977000000000000000e+03 8.627813881667666137e+05 1.122899620368575350e-06 1.600217667912370672e-08 1.630539616092147653e-08 9.951074482035612099e-07 6.981241589537037839e+01 1.618517571015972917e-07 2.371057349358156319e-03
7.978000000000000000e+03 8.621442777412188007e+05 1.007924227743774571e-06 6.462991373507625405e-09 1.218641735638284383e-08 1.035590248772959146e-06 7.006159138439885226e+01 -2.786786344321112898e-07 2.363924308140418883e-03
7.979000000000000000e+03 8.616486425329195336e+05 1.018888957698654125e-06 1.371332994996053214e-08 1.075589930658791272e-08 1.073307354199224641e-06 6.989476922190559094e+01 5.167571947798411871e-08 2.376821086525018802e-03
7.980000000000000000e+03 8.610189613985760370e+05 1.183411026667972455e-06 1.837542704360331843e-08 2.259962456982006057e-08 1.034637454418835698e-06 6.986479418427404653e+01 4.190000856109421245e-08 2.362727462330928545e-03
7.981000000000000000e+03 8.614513191204137402e+05 1.095061758269179114e-06 5.775753214165576994e-09 1.781272791139170281e-08 1.108621970607354952e-06 6.991129759500003615e+01 -4.530571440286040623e-07 2.370404755009184513e-03
7.982000000000000000e+03 8.598068270489278948e+05 1.056214872442295721e-06 6.889393029410946056e-09 2.449227474457026663e-08 1.112360700105037896e-06 6.990007453430159501e+01 -8.973350893273366102e-07 2.365725073673668674e-03
7.983000000000000000e+03 8.562654703336678213e+05 1.061400002725693911e-06 5.718922062949707464e-09 1.683291300270521278e-08 9.986389747305034331e-07 7.007404615412136195e+01 -9.844230398023840233e-07 2.350523116932990830e-03
7.984000000000000000e+03 8.558337623442849144e+05 1.152755441392450944e-06 1.810855506039479313e-08 2.554726244964858275e-08 1.018359703388500664e-06 7.033697296323990145e+01 -5.191388842186195777e-07 2.383938724688287620e-03
7.985000000000000000e+03 8.582821781972134486e+05 1.275132574187728207e-06 1.737392286987023819e-08 2.526074816834052512e-08 9.934098177390398704e-07 7.019818041449489954e+01 -1.879767074451980146e-07 2.387161400300537566e-03
7.986000000000000000e+03 8.546893599932015641e+05 1.475656341636327819e-06 -5.588886437191867884e-25 2.280874161936184602e-08 1.051401301704797017e-06 7.039771011730054795e+01 -2.474216232151988177e-07 2.407637844788086505e-03
7.987000000000000000e+03 8.543034886625759536e+05 1.449635782117642555e-06 1.387185372033463039e-08 1.151112414389226083e-08 9.670613703702314030e-07 7.031126632769037599e+01 -5.880531043358984972e-07 2.391534507985759641e-03
7.988000000000000000e+03 8.552848683956760215e+05 1.496513200003148010e-06 1.141903671354247658e-08 1.624312860985656827e-08 1.138934605163650230e-06 7.001705402527424837e+01 -1.000026972725386062e-06 2.404251353073687519e-03
7.989000000000000000e+03 8.507019363563483348e+05 1.448247187726995595e-06 7.027752591840735783e-09 1.706587345843659269e-08 1.195168090011572039e-06 7.018296609968207633e+01 -6.796118214285299792e-07 2.460741746243576712e-03
7.990000000000000000e+03 8.501478801677046577e+05 1.479139471166419616e-06 5.765743427228547656e-09 1.407920036506931506e-08 1.087403485322733104e-06 7.022395698085438198e+01 1.392716810625874354e-07 2.459461344715494022e-03
7.991000000000000000e+03 8.495057012791474117e+05 1.490059433553086943e-06 7.049258472178294244e-09 1.153157419135559721e-08 1.097935375245970111e-06 7.026644702749064209e+01 6.817435333700472210e-07 2.488731477752948416e-03
7.992000000000000000e+03 8.519991249017855152e+05 1.481483858228987755e-06 1.988549352334283426e-08 7.060735366049877581e-09 1.181172377864158976e-06 7.022984739737582061e+01 6.603567727294660267e-08 2.459868166664442267e-03
7.993000000000000000e+03 8.486588219492804492e+05 1.643889675736227880e-06 1.152746190883024858e-08 2.359320507440407296e-08 1.149760486385651993e-06 7.012750826117016345e+01 3.589336191717720323e-07 2.450749526126849449e-03
