Energy Monitor Ho_a Ho_g2 Ho_g1 Ho_b1 bragg Ho_b2 fluotot
7.911000000000000000e+03 9.482710000000000000e+05 1.205200984588944273e-07 -7.646128683800082293e-25 -1.844539832365139944e-24 3.222219745597585436e-07 1.370138300223795227e+02 2.067827919090774909e-07 5.051298626658424010e-04
7.912000000000000000e+03 9.484460000000000000e+05 2.108712567716032455e-07 -7.073150199482703795e-25 3.012446525308617698e-08 2.476599491867927968e-07 1.371391217170265406e+02 -1.496528204823217151e-07 5.029279474002752194e-04
7.913000000000000000e+03 9.471120000000000000e+05 2.111682673221329738e-07 2.933410185121002421e-25 -1.043620331084294516e-24 3.553398944879377664e-07 1.379165218293598230e+02 -5.278101521711513002e-07 5.046921588998970910e-04
7.914000000000000000e+03 9.468350000000000000e+05 2.112300453616522550e-07 -3.399457443132879987e-25 -1.827237901022514961e-24 5.013035079944769106e-07 1.376529154482696242e+02 -1.092888623275161269e-06 4.773799025173334348e-04
7.915000000000000000e+03 9.472310000000000000e+05 1.206524219390141137e-07 -3.684186688562706194e-25 -2.022729795372624687e-24 1.495485486601779418e-07 1.375460969151670838e+02 2.845145293675098767e-08 5.120187156036906054e-04
7.916000000000000000e+03 9.466050000000000000e+05 3.018305266867232790e-07 -1.055877465995839919e-24 -2.895723841182662578e-24 3.040997834494500122e-07 1.384255446312589868e+02 -5.095874835596886409e-08 5.250342011715547442e-04
7.917000000000000000e+03 9.460400000000000000e+05 1.812064726952046801e-07 7.807415308640360729e-25 -1.265182012485117019e-24 3.333745464148464031e-07 1.385178423440155484e+02 -7.043089648169591340e-07 5.084351613039612972e-04
7.918000000000000000e+03 9.459610000000000000e+05 1.812216057835063261e-07 -7.951334892837497709e-25 -3.069920324539193998e-24 2.597745799420659576e-07 1.385303165827473038e+02 2.707722943594321764e-07 5.264487648010858500e-04
7.919000000000000000e+03 9.547340000000000000e+05 3.291866784734955119e-07 6.032908148550294778e-26 -2.468593184333916780e-24 2.014515382052727053e-07 1.380912963498692818e+02 -4.916809685068470294e-07 5.100897213255198509e-04
7.920000000000000000e+03 9.446150000000000000e+05 1.512331932661908243e-07 -8.285475668836882275e-25 -3.639630910541578436e-24 2.811905043592373341e-07 1.394460899897231059e+02 4.777741961688533679e-07 5.388438676074386964e-04
7.921000000000000000e+03 9.440670000000000000e+05 9.079258751157038765e-08 1.758545094814292941e-25 -2.948464931976238848e-24 2.007933330328272718e-07 1.392491316037474860e+02 2.482759371790281184e-07 4.904312935416660661e-04
7.922000000000000000e+03 9.437820000000000000e+05 1.816400094816084914e-07 -1.687277513014300202e-25 -3.640734881802136823e-24 2.171497112096012338e-07 1.383183632879554636e+02 5.622336695962954661e-07 5.329620611539525590e-04
7.923000000000000000e+03 9.432360000000000000e+05 2.423268710814987625e-07 6.106448191804252714e-26 -3.796820302318078818e-24 5.149439920548953113e-07 1.389049353950634327e+02 1.367563878285782018e-11 5.258493102468524052e-04
7.924000000000000000e+03 9.429360000000000000e+05 1.818029764783309096e-07 -2.838606613628463558e-25 -4.569951448002149589e-24 1.947660751489355692e-07 1.395407970259160209e+02 -2.911011631293670669e-07 5.058667820509562185e-04
7.925000000000000000e+03 9.421800000000000000e+05 2.425984722361211058e-07 -3.955661601875366835e-25 -5.156771875206309347e-24 3.370489795734324306e-07 1.394566994824588448e+02 6.029188217431394458e-07 5.604024708654398385e-04
7.926000000000000000e+03 9.416780000000000000e+05 1.517048745506880817e-07 6.068194982027523002e-08 -6.608754938717635111e-24 3.333002281497673166e-07 1.390825748718529269e+02 1.011639829886763173e-08 5.118522467340211584e-04
7.927000000000000000e+03 9.409150000000000000e+05 3.340213667395187388e-07 9.002222330994962427e-26 -5.782957616848605367e-24 2.431353030482586437e-07 1.393731453344241800e+02 -4.730895545151338666e-09 5.335232194193940524e-04
7.928000000000000000e+03 9.403350000000000000e+05 1.519215416390359384e-07 9.007774513954837680e-26 -6.431377130528295367e-24 1.082953414538485886e-07 1.399182904638710170e+02 -3.849525102130969877e-07 4.955680688265341489e-04
7.929000000000000000e+03 9.396050000000000000e+05 1.520395728600240101e-07 -4.291034267741865941e-25 3.040791457200479276e-08 2.232668777107306956e-07 1.398339694391864327e+02 -9.166459571357594670e-07 4.874388705892372339e-04
