#D1_FDM HS_FDM A_FDM A_Green D1_Green HS_Green mod
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.532636925883449752e-03 1.417757570670166462e-03 1.425796679970134893e-03 1.842150741447620178e-03 1.230238623216341198e-03 1.846715123179732115e-03 7.899677056045666720e-04
-4.154088544655325372e-06 1.580200376205655253e-05 1.308016088431860014e-05 3.767065809850644550e-05 1.720674132416892581e-05 3.717690547561511218e-05 4.236840715860705313e-05
2.700650486001145850e-02 2.479078121635492141e-02 2.510601089766905519e-02 2.335806858234403677e-02 2.542690480834043990e-02 2.330294705642154546e-02 2.253492315267224821e-02
1.247010313362231985e-05 1.575470838813058670e-05 1.511707795826025040e-05 1.199874691935347579e-05 1.112883661608416195e-05 1.282714836385703362e-05 1.288004922973144185e-05
1.266095105502479390e-01 1.313739675127521545e-01 1.295700267997701993e-01 1.259593773160450902e-01 1.244125533663673761e-01 1.284407611699463492e-01 1.279830743734021170e-01
