Energy Monitor Ho_a Ho_g2 Ho_g1 Ho_b1 bragg Ho_b2 fluotot
7.925000000000000000e+03 7.493504865513099357e+05 5.701916389872448638e-07 -1.329943906378453952e-23 1.819798085295531110e-08 3.169713157950612043e-06 6.922734083897227997e+00 -1.079170707416010615e-06 4.534988685680010380e-03
7.926000000000000000e+03 7.447429290206973674e+05 5.572850549699053872e-07 2.017024039977291426e-08 -1.346654883543032732e-18 3.156137806079164413e-06 6.912243042347129496e+00 -1.557218581005840773e-06 4.527768948239942887e-03
7.927000000000000000e+03 7.405694561392822070e+05 4.575245128625713355e-07 5.877714755976957946e-08 4.039359052559407435e-08 2.716987657004950487e-06 6.862418299464668081e+00 6.966924754214040314e-07 4.574315304122885534e-03
7.928000000000000000e+03 7.440148236191890901e+05 4.257241953647184643e-07 3.675430855699167234e-08 9.683041783041067154e-08 2.919676390545640291e-06 6.788948751190188702e+00 6.365628205553678351e-07 4.577157264844515343e-03
7.929000000000000000e+03 7.429458013773062266e+05 4.999560192012444368e-07 2.026727941310094129e-08 5.457262772853122997e-08 3.517911896272905309e-06 6.772622612481956850e+00 -5.157373673633632797e-07 4.575683166879450023e-03
7.930000000000000000e+03 7.387570390849282267e+05 5.230700367014122701e-07 1.838000959562189801e-08 -1.813771960797823984e-18 3.491400585243448751e-06 6.773552984949501976e+00 1.169828508363197644e-06 4.664431827491312584e-03
7.931000000000000000e+03 7.382205566284692613e+05 5.011864297363598008e-07 8.131431416616570598e-08 2.032857853958790382e-08 3.253593322205639469e-06 6.752548618159977423e+00 2.614530249836944841e-06 4.711056421271549687e-03
7.932000000000000000e+03 7.378433869855689118e+05 4.239775691769867780e-07 7.349732415505508226e-08 3.872289070784206789e-08 3.383331706786537745e-06 6.727644488290317248e+00 1.170693676768338614e-07 4.618579133272395117e-03
7.933000000000000000e+03 7.374352435711541912e+05 5.505035386718893861e-07 -8.075112949045781257e-24 5.912685995334455742e-08 3.277629418729758226e-06 6.719550509096549717e+00 5.936133993427549803e-07 4.642075097255113532e-03
7.934000000000000000e+03 7.369064388104501413e+05 6.162572267769009318e-07 4.082054015908606638e-08 3.672371618237143517e-08 2.785369304383928354e-06 6.692776905583149194e+00 2.103341426429401206e-06 4.719513494369885140e-03
7.935000000000000000e+03 7.361818915333234472e+05 6.047063580337927932e-07 7.762060426202971852e-08 -2.626521398098582250e-18 2.862200687752217718e-06 6.685710928136380460e+00 4.843819847035376755e-07 4.706645968522066986e-03
7.936000000000000000e+03 7.357426804142203182e+05 5.987634026434509097e-07 3.673004268645830301e-08 -2.827650059111344944e-18 3.086088670952409102e-06 6.701576303072783958e+00 -3.931723668402169783e-08 4.668766081921457874e-03
7.937000000000000000e+03 7.393638726361880545e+05 5.207203347913386391e-07 -1.221811170154897472e-23 -3.043920521227277873e-18 3.181883281213578297e-06 6.619595842827365573e+00 -5.066194179968609747e-07 4.615790487113803110e-03
7.938000000000000000e+03 7.382308296001892304e+05 5.647708069826976150e-07 4.108121049624514099e-08 4.108121049296871829e-08 2.992538774224407384e-06 6.562805797093063553e+00 -2.145392073055989485e-07 4.616638750895139635e-03
7.939000000000000000e+03 7.339732696362076094e+05 7.257145077236892755e-07 5.727790587092206688e-08 3.670165503998701516e-08 2.726127696702325124e-06 6.568792180630523170e+00 -2.441535129658089698e-08 4.632964602513992523e-03
7.940000000000000000e+03 7.334689218721385114e+05 6.326147637265672509e-07 1.835207776703058866e-08 2.060176088111529423e-08 2.457132249349125950e-06 6.544728035162780344e+00 4.441426757710195432e-07 4.660022895034022367e-03
7.941000000000000000e+03 7.329960806924353819e+05 4.677476572533095047e-07 -4.704993421311420786e-24 5.961369764754627861e-08 2.478614117563217343e-06 6.521687510966794221e+00 5.901263731325088048e-07 4.701493531708393625e-03
7.942000000000000000e+03 7.284125865288150962e+05 4.707054314500592109e-07 2.088244038022417230e-08 5.756846485705805739e-08 2.755348405198937808e-06 6.497634515441243153e+00 -6.033270513036853326e-07 4.631334629968976262e-03
7.943000000000000000e+03 7.284118270621603588e+05 7.397108756820882580e-07 1.853231032971760974e-08 1.853231032498971006e-08 2.683722352028194347e-06 6.468431293719391739e+00 1.272169642059198353e-06 4.668122762413119860e-03
7.944000000000000000e+03 7.314011220256006345e+05 8.314864084523574519e-07 4.146085684402957050e-08 -5.086379030124717874e-18 3.096521127935184091e-06 6.451746968488039968e+00 2.226331858060204052e-06 4.768036879614123529e-03
7.945000000000000000e+03 7.308579600814944133e+05 5.583763341996967430e-07 5.742919056458609724e-08 -5.471529889515208964e-18 3.282063634252521588e-06 6.441159474176416211e+00 -3.490592001037144066e-07 4.664480850706190750e-03
7.946000000000000000e+03 7.303027167933054734e+05 5.551127020969289515e-07 3.912272952513787038e-08 -5.885328775624263733e-18 2.856955650947837257e-06 6.402303609742117985e+00 -9.902849479048730117e-07 4.680986321504577996e-03
7.947000000000000000e+03 7.336550265332382405e+05 6.414482232415314739e-07 3.894482556007382452e-08 2.061381127339371531e-08 2.714314578892082548e-06 6.319982504418951486e+00 1.141625795591912426e-06 4.760315967322188702e-03
7.948000000000000000e+03 7.327486466989993351e+05 7.489985555863955056e-07 5.984437251003055524e-08 1.814209158840452329e-08 2.795426979104371067e-06 6.313726771125984349e+00 1.784712179112808339e-06 4.749128543058161837e-03
7.949000000000000000e+03 7.326731753595876507e+05 8.579331914124625761e-07 3.664078683173522943e-08 4.135313965298655426e-08 2.613485607925261136e-06 6.276890181224977994e+00 -3.404543473308334409e-07 4.767070540926561344e-03
7.950000000000000000e+03 7.315993998096343130e+05 7.755282776692820312e-07 2.091777298781367035e-08 3.627348761836850491e-08 3.114744037027504414e-06 6.209076434951753320e+00 -2.023119125428249246e-06 4.730445593859574152e-03
7.951000000000000000e+03 7.315478920674013207e+05 8.067217744427991157e-07 1.831774617161291911e-08 -8.462660053657451261e-18 3.145760817260782888e-06 6.209158356090213715e+00 -9.958711426540826501e-07 4.704918018797936072e-03
7.952000000000000000e+03 7.385109562788417097e+05 7.664958805463234114e-07 6.167290809912455629e-08 -9.097856439273016430e-18 2.598552441835515575e-06 6.183301339790488349e+00 -9.896552848572839795e-07 4.661421076517934144e-03
7.953000000000000000e+03 7.414182019132232526e+05 6.963028360482806915e-07 5.382726431123470692e-08 -9.779873685722528723e-18 2.397168982806743432e-06 6.114499016699324940e+00 -6.701464093928793438e-07 4.671979300674175377e-03
7.954000000000000000e+03 7.488377098393854685e+05 7.654286729948882053e-07 2.021393507956426710e-08 2.021393506905217132e-08 2.263655517376615755e-06 6.002830256300096146e+00 5.565946307864478535e-07 4.784477023992810864e-03
7.955000000000000000e+03 7.592341914286278188e+05 8.103347924570773976e-07 1.758367743045110930e-08 3.763265771086223997e-08 2.166715267923321763e-06 5.920545856569312981e+00 -2.271902694935529242e-07 4.751176022388756831e-03
7.956000000000000000e+03 7.620744756368988892e+05 8.047358597044898540e-07 -1.001845898083180802e-23 1.741111102836244678e-08 2.413844942120423787e-06 5.817066887219988658e+00 -9.496241977612107026e-07 4.679239992751379335e-03
7.957000000000000000e+03 7.615332004682667321e+05 1.069408282775535591e-06 2.010885521373174256e-08 -1.304751178732542919e-17 2.704710736884571860e-06 5.720099127121422100e+00 1.181580131485879773e-06 4.727797396172757523e-03
7.958000000000000000e+03 7.650427817363747163e+05 1.087780999903786048e-06 1.740491860434680421e-08 -1.401944505249358018e-17 2.406781552023595348e-06 5.698113755962310734e+00 2.229387170989589477e-06 4.750425472576791895e-03
7.959000000000000000e+03 7.679226430102330633e+05 1.072716767715640414e-06 -2.531105639709267395e-23 1.997439142735615963e-08 2.180249490909625778e-06 5.655176876846502054e+00 1.428468356507245837e-06 4.776003890860943193e-03
7.960000000000000000e+03 7.672590204785255482e+05 1.088812619333081510e-06 4.001480486443960836e-08 1.723091380489011267e-08 2.319548452020933133e-06 5.592017991795157350e+00 1.030852786941386691e-06 4.759921699748183299e-03
7.961000000000000000e+03 7.707630833449166967e+05 9.439755457421008107e-07 3.446119838394029872e-08 -1.738237587013523431e-17 2.313916417163080666e-06 5.589659905470226953e+00 1.056761799115767390e-06 4.845704191081622036e-03
