Energy Monitor Ho_a Ho_g1 Ho_b1 bragg Ho_b2 fluotot
8.050000000000000000e+03 1.447100000000000000e+05 6.219335222168475338e-05 -4.884784772966971777e-20 3.099795650414128776e-05 5.139949585661562423e+02 1.457556769943614116e-05 7.714048787229646487e-02
8.060000000000000000e+03 1.431940000000000000e+05 1.590250190051857744e-04 -1.178854523476747067e-19 2.793413131835132833e-05 4.765960834328185456e+02 4.475408536613271343e-08 8.775507353660058629e-02
8.061000000000000000e+03 1.420920000000000000e+05 1.699100381644085684e-04 -1.285286507750346545e-19 3.317769975991410067e-05 4.688355221892051077e+02 2.225003940064412301e-05 9.026546181347301634e-02
8.062000000000000000e+03 1.438590000000000000e+05 2.115166338468321434e-04 -1.403297543598954643e-19 3.376321854832062367e-05 4.548355202112605298e+02 2.032255002795983669e-05 9.413383938439774667e-02
8.063000000000000000e+03 1.431080000000000000e+05 2.443708847264203731e-04 -1.530461157838324060e-19 3.154460766893335555e-05 4.364593042542319949e+02 5.579717149963925923e-05 1.003368085641611201e-01
8.064000000000000000e+03 1.420010000000000000e+05 2.814869512991357192e-04 -1.667648206117025313e-19 3.480860798767010660e-05 4.174118638284258509e+02 3.658845971706503001e-05 1.038372969204437446e-01
8.065000000000000000e+03 1.437830000000000000e+05 3.628483796514787450e-04 -1.820481965933133998e-19 3.258879203879656221e-05 3.987717170354890754e+02 4.931215254531007459e-05 1.107780474743201710e-01
8.066000000000000000e+03 1.427040000000000000e+05 4.332644595005846538e-04 -1.986085545907005675e-19 2.983197988243396851e-05 3.722017977802162250e+02 7.178549741983708196e-05 1.208795829128824911e-01
8.067000000000000000e+03 1.417870000000000000e+05 5.233201915549381142e-04 -2.169548320122524207e-19 3.788378745180144059e-05 3.464220440019925604e+02 6.005506186692330731e-05 1.295464323245422711e-01
8.068000000000000000e+03 1.429090000000000000e+05 6.591607246569495702e-04 -2.361692653863070307e-19 3.438751733120877003e-05 3.098006814909422246e+02 9.599030818866741057e-05 1.438047988580128111e-01
8.069000000000000000e+03 1.425240000000000000e+05 8.642153501966586644e-04 2.004674901868586132e-07 3.989303054723615348e-05 2.655205461182060276e+02 9.839365665093989955e-05 1.675226628497676062e-01
8.070000000000000000e+03 1.415340000000000000e+05 1.194059377958653009e-03 -2.807357741439291089e-19 4.501694696276916941e-05 2.126893508892937064e+02 1.210240911783235299e-04 1.999590204473863653e-01
8.071000000000000000e+03 1.420990000000000000e+05 1.615774917487104029e-03 2.010670629025185251e-07 4.926143041119219616e-05 1.606693662663528244e+02 1.695661733092311248e-04 2.474260902610216917e-01
8.072000000000000000e+03 1.420150000000000000e+05 2.054511344375091128e-03 6.035579742579181927e-07 5.512496164892038232e-05 1.185557448031956653e+02 2.277445883429298152e-04 2.961518149491295659e-01
8.073000000000000000e+03 1.414160000000000000e+05 2.394960360112818269e-03 6.061144829031676456e-07 5.535845610518914733e-05 9.636173290780929790e+01 2.662676716714926662e-04 3.330811223623961204e-01
8.074000000000000000e+03 1.412860000000000000e+05 2.636799521133425476e-03 4.044481204280750013e-07 5.096046317398751288e-05 8.584796714080147240e+01 3.039443358685329664e-04 3.561357813230004998e-01
8.075000000000000000e+03 1.420540000000000000e+05 2.628175603241423349e-03 2.011307571160767812e-07 5.510982744992347045e-05 8.672393397054794661e+01 2.836145349250187350e-04 3.550128824249891846e-01
8.076000000000000000e+03 1.409120000000000000e+05 2.450972440753296754e-03 -4.709024810845988118e-19 5.515093513276776244e-05 9.573337277773973142e+01 2.715373412023199505e-04 3.359827410014849525e-01
8.077000000000000000e+03 1.409700000000000000e+05 2.202292281032438431e-03 4.053547360628847725e-07 5.229076095217827908e-05 1.106353540188050602e+02 2.412858513737184234e-04 3.084131375470023917e-01
8.078000000000000000e+03 1.420630000000000000e+05 1.983626982395134478e-03 -5.597409791401555222e-19 5.088285780654659116e-05 1.254557373536474500e+02 2.289261951781026939e-04 2.856338385082561326e-01
8.079000000000000000e+03 1.407150000000000000e+05 1.833493230998827330e-03 -6.094597919626382165e-19 4.426373470185430623e-05 1.391889723333469817e+02 2.205031139786145641e-04 2.710229897310083014e-01
8.080000000000000000e+03 1.406310000000000000e+05 1.722237628972274814e-03 4.063318695221098015e-07 4.185218256084566411e-05 1.510699543745995470e+02 2.029195607557304510e-04 2.553562159125634112e-01
8.081000000000000000e+03 1.426100000000000000e+05 1.627615775291253947e-03 -7.227406090294038142e-19 4.888457030663047456e-05 1.617890847507279943e+02 1.804463247855836406e-04 2.462730523806164751e-01
8.082000000000000000e+03 1.404280000000000000e+05 1.513943088272993965e-03 -7.876052509965310330e-19 4.638879507139397962e-05 1.699793732349873494e+02 1.682266235111988875e-04 2.360070641182684947e-01
8.083000000000000000e+03 1.399670000000000000e+05 1.456057499267684671e-03 -8.575351232653078257e-19 4.245898778181387585e-05 1.761295875463581240e+02 1.791285057490750758e-04 2.269606407224502853e-01
