#mod_Green_301 A_FDM_301 D1_FDM_301 HS_FDM_301 HS_FDM_001 D1_FDM_001 A_FDM_001 mod_Green_001 HS_FDM_110 mod_Green_110 A_FDM_110 D1_FDM_110 mod_Green_sat D1_FDM_sat
inf inf inf inf inf inf inf inf inf inf inf inf inf inf
7.899677056045666720e-04 1.425796679970134893e-03 1.532636925883449752e-03 1.417757570670166462e-03 1.417757570670166462e-03 1.532636925883449752e-03 1.425796679970134893e-03 7.899677056045666720e-04 1.417757570670166462e-03 7.899677056045666720e-04 1.425796679970134893e-03 1.532636925883449752e-03 7.899677056045666720e-04 1.532636925883449752e-03
2.745718145923542464e-02 1.676425845548249471e-01 1.630110211033035661e-01 1.920510663286488506e-02 2.131619815839473076e-01 1.857524647530977013e-01 -2.452062424034615606e-01 -2.065289999399342602e-01 -1.217884561856143327e-01 -1.052654860896101274e+00 -1.104745493517451216e+00 -2.046186148341378797e+00 -2.138176234095301886e+00 -8.717661694013930429e+00
-1.059209941767267766e-06 2.179515334047303632e-03 8.430810221402606705e-03 6.521591389015283288e-04 7.464328791126795259e-03 3.215132479815031776e-03 4.264276479280468832e-04 3.992383334048244751e-04 2.712691116797792288e-04 -3.593270147313953812e-05 1.682834412536398836e-04 2.304779063247152922e-04 8.313439302860189126e-04 3.357417382332455028e-09
1.254380890115905280e-03 4.312867949170994919e+00 9.117306484526734423e+00 2.376818030627211864e-01 6.743899931596410990e-01 1.239841904868464795e+00 1.268671035071922581e+00 1.143549962640696194e+00 1.955420607089999763e+00 1.538976388480495006e+00 1.259984600064565807e+00 6.954766554024239822e-01 3.206947841729020698e+00 1.350163765286099230e-05
-2.059038740491516140e-01 7.739784168123565067e+00 4.290684664624157540e-01 -8.851724275313360051e-05 1.701428589299890937e-01 2.571965472451127610e-01 4.402482647968514740e-01 1.400543896829662682e-01 2.268792166184407100e-01 7.848606341423089994e-01 1.146101458437544629e+00 6.418548336253471209e-01 9.655058426357476797e-01 -1.100256266871584065e+00
2.935465726982035228e+00 5.591993736125446812e-01 7.583190960789198964e-02 1.290370451498652695e-04 2.656970422459428161e-01 2.739459488887678318e-01 3.270677235186703058e-01 1.268908759487767379e-01 1.138958813741832721e-01 3.230556839349442155e-01 5.661796327504363679e-01 2.294795980767165400e+00 1.307228642991224432e-01 2.041235454624809709e+00
2.059581554361798184e-01 1.703791135396357237e-01 1.866624520543899712e-01 3.389082980759827723e-01 1.742252218289450441e-02 4.767838859383578994e-03 2.370052474501537984e-03 2.671028787580424693e-03 4.982156890035610054e-03 5.023744789276913050e-03 4.552145608831792770e-03 3.731047987699260410e-03 4.685462418444226798e-03 5.898929520348232189e-03
4.668944342932782599e-01 4.204935925916152839e-01 4.374760239342976864e-01 5.918239925570413229e-01 3.250209261700537922e-01 1.576333203764047342e-01 9.476189930007775097e-02 1.091412220997186322e-01 1.154908402610617252e-01 1.125382981494970763e-01 1.094536423623895527e-01 9.882374190062695463e-02 9.220776616231289580e-02 8.228017071034737784e-02
